elements_books_group,n,metric,count,pct,elements_overall_pct,delta
books_1_6,81,claim_accessibility_clarity_pedagogy,10,12.3,15.7,-3.4
unknown_books,56,metadata_additional_data,2,3.6,7.0,-3.4
books_1_6,81,religious_institutional_arena,14,17.3,21.0,-3.7
near_complete_or_expanded,67,learned_scholarly_arena,19,28.4,32.2,-3.8
books_1_6,81,humanist_transfer_book,17,21.0,24.8,-3.8
selected_later_books,21,claim_method_demonstration_order,8,38.1,42.0,-3.9
unknown_books,56,claim_novelty_modernity_invention,3,5.4,9.4,-4.1
unknown_books,56,method_access_book,3,5.4,9.8,-4.4
unknown_books,56,general_public_lovers_arena,1,1.8,6.3,-4.5
selected_later_books,21,claim_novelty_modernity_invention,1,4.8,9.4,-4.7
near_complete_or_expanded_enunciations,7,metadata_has_additional_content,1,14.3,19.2,-4.9
unknown_books,56,claim_accessibility_clarity_pedagogy,6,10.7,15.7,-5.0
books_1_6,81,claim_translation_vernacularization_transfer,17,21.0,26.2,-5.2
near_complete_or_expanded,67,court_state_service_arena,4,6.0,11.2,-5.2
unknown_books,56,Geometry/Theory,32,57.1,62.6,-5.4
books_1_6_plus_solids,39,claim_visual_material_aids,4,10.3,15.7,-5.5
books_1_6_plus_solids,39,court_state_service_arena,2,5.1,11.2,-6.1
selected_later_books,21,claim_visual_material_aids,2,9.5,15.7,-6.2
near_complete_or_expanded,67,claim_utility_practice_application,1,1.5,7.7,-6.2
near_complete_or_expanded,67,claim_novelty_modernity_invention,2,3.0,9.4,-6.5
partial_from_book_1,8,procedural_pedagogical_identity,4,50.0,57.0,-7.0
unknown_books,56,claim_selection_extraction_abridgment,6,10.7,17.8,-7.1
near_complete_or_expanded,67,claim_selection_extraction_abridgment,7,10.4,17.8,-7.4
books_1_6,81,learned_scholarly_arena,20,24.7,32.2,-7.5
near_complete_or_expanded_enunciations,7,claim_correction_revision_accuracy,1,14.3,23.1,-8.8
unknown_books,56,claim_completeness_totality_system,4,7.1,16.8,-9.6
selected_later_books,21,metadata_has_additional_content,2,9.5,19.2,-9.7
books_1_6,81,claim_completeness_totality_system,5,6.2,16.8,-10.6
books_1_6,81,Geometry/Theory,42,51.9,62.6,-10.7
partial_from_book_1,8,pedagogical_school_arena,1,12.5,23.4,-10.9
near_complete_or_expanded,67,pedagogical_school_arena,8,11.9,23.4,-11.5
selected_later_books,21,religious_institutional_arena,2,9.5,21.0,-11.5
selected_later_books,21,composite_workshop_book,5,23.8,35.7,-11.9
selected_later_books,21,claim_completeness_totality_system,1,4.8,16.8,-12.0
partial_from_book_1,8,humanist_transfer_book,1,12.5,24.8,-12.3
