classification_key,year,city,language_first,author_or_editor,elements_books_group,elements_books,natural_dominant_mode,natural_mode_count,primary_classes,mode_practical_public,utility_public_book,method_access_book,claim_method_demonstration_order,claim_accessibility_clarity_pedagogy,claim_utility_practice_application,claim_translation_vernacularization_transfer,claim_augmentation_enrichment_composition,religious_institutional_arena,military_fortification_arena,no_visible_social_arena,rich_claim_text_raw,rich_social_text_raw
Glasgow_1756,1756,Glasgow,LATIN,Robert Simson,books_1_6,1-6,institutional-composite,6,Theoretical Mathematics,False,False,False,True,False,False,True,True,False,False,False,"Sublatis | Vitiati | Restitutis | LIBRI PRIORES SEX, ITEM UNDECIMUS ET DUODECIMUS | EX VERSIONE LATINA FEDERICI COMMANDINI | Sublatis iis quibus olim Libri hi a THEONE, aliisve, Vitiati sunt, Et quibusdam EUCLIDIS Demonstrationibus Restitutis | In Academia Glasguensi Matheseos Professore | THEONE | EUCLIDIS ELEMENTORUM | Et quibusdam EUCLIDIS Demonstrationibus Restitutis | LATINA | EUCLIDIS | EUCLIDIS ELEMENTORUM | EUCLIDIS Demonstrationibus",Academia Glasguensi | In Academia Glasguensi Matheseos Professore | THEONE
Graz_1636,1636,Graz,LATIN,"Christopher Clavius, Christoph Grienberger, Jacobus Honoratus Durandus",books_1_6,1-6,institutional-composite,5,,False,False,False,False,False,False,False,True,True,False,False,"contracti | Accessit | EVCLIDIS SEX PRIMI ELEMENTORUM GEOMETRICO- RUM LIBRI CUM PARTE UNDECIMI | Ex majoribus Clavij com-mentarijs in commodiorem formam contracti | è SOCIETATE JESU | HONORATVM DVRANDVM EIVSDEM SOCIETATIS | EVCLIDIS SEX PRIMI ELEMENTORUM GEOMETRICORUM LIBRI CUM PARTE UNDECIMI | ferme ex Clavio BREVIS TRIGNONOMEtria planorum, cum Tabulis Sinuum, Tangentium, & Secantium, ad partes Radij 100000 per sex prima scrupula graduum | BREVIS TRIGNONOMEtria | EVCLIDIS",SOC IETATE JESU | EIVSDEM SOCIETATIS | è SOCIETATE JESU | HONORATVM DVRANDVM EIVSDEM SOCIETATIS
Halle_1758,1773,Halle,GERMAN,Johann Friedrich Lorenz,books_1_6,1-6,composite/apparatus,4,Theoretical Mathematics,False,False,False,False,False,False,False,False,False,False,True,übersetzt | aus dem Griechischen übersetzt | zum Gebrauch der Schulen | die sechs ersten Bücher der Elemente | nebst dem eilften und zwölften | Euklids Geometrie | nach der dritten Ausgabe sämmtlicher sechs Bücher der Elemente | die sechs ersten Bücher der Elemente | nebst dem eilften und zwölften Buche | aus dem Griechischen | Euklid’s | Euklids,zum Gebrauch der Schulen
Hamburg_1633,1633,Hamburg,DUTCH,Jacob Willemsz,books_1_6,1–6,humanist/vernacular transfer,3,Theoretical Mathematics,False,False,False,True,False,False,True,False,False,False,True,VERTAELT | Verroten | EVCLIDES ZES EERSTE BOEKKEN | VANDE BEGINSELEN DER VViskonsten | EVCLIDES ZES EERSTE BOEKKEN | NEERDVYTS | EVCLIDES,
Hamburg_1638,1638,Hamburg,DUTCH,Jacob Willemsz,books_1_6,1–6,institutional/authority,2,Theoretical Mathematics,False,False,False,False,False,False,False,False,False,False,True,vertaald | EUKLIDES ZES EERSTE BOEKKEN | VANDE BEGINSE- LEN DER WISKONSTEN | VERROOTEN van Haerlem | EUKLIDES ZES EERSTE BOEKKEN | Neerduids | EUKLIDES,VERROOTEN van Haerlem
Ingolstadt_1617,1617,Ingolstadt,LATIN,Johann Lanz,books_1_6,1-6,pedagogical/method,4,,False,False,False,False,False,False,False,False,True,False,False,"dati | impressi | dicati | in lucem dati | studiosæ iuuentutis | EVCLIDIS ELEMENTORVM GEOMETRICORVM, LIBRI SEX PRIORES | EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBRI SEX PRIORES | Et nunc recens impressi | Noua interpretatione | SOCIETATIS IESV | EVCLIDIS ELEMENTORVM GEOMETRICORVM, LIBRI SEX PRIORES | EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBRI SEX PRIORES | EVCLIDIS",studiosæ iuuentutis | ACADEMIAE | SOCIETATIS IESV | SOCIETATIS IESV | NOBILISSIMIS ACADEMIAE A PORTV ARDENTIBVS | IOANNE LANZ
Kiel_Hamburg_and_Leipzig_1697,1697,"Hamburg, Leipzig",GERMAN,Samuel Reyher,books_1_6,1–6,institutional-composite,5,Theoretical Mathematics,False,False,False,False,False,False,False,False,False,False,False,"vorgestellter | EUCLIDES, Dessen VI. erste Bücher | auf sonderbahre Art, Mit Algebraischen Zeichen | JCti, Bey der Hoch-Fürstl. Holst. Universität Codic. und Mathematum Prof | EUCLIDES, Dessen VI. erste Bücher | Mit Algebraischen Zeichen | Teutscher | EUCLIDES","Universität Codic | JCti, Bey der Hoch-Fürstl. Holst. Universität Codic. und Mathematum Prof"
Kiel_and_Leipzig_1699,1699,"Kiel, Leipzig",GERMAN,Samuel Reyher,books_1_6,1–6,institutional-composite,5,,False,False,False,False,False,False,False,False,False,False,False,"vorgestellter | eingerichtet | EUCLIDES | Dessen VI. erste Bücher auf sonderbahre und sehr leichte Art, Mit Algebraischen, oder aus der neuesten Löse-Kunst entlehneten Zeichen, also dass man deroselben Beweiss auch in andern Sprachen gebrauchen kan | JCti, Bey der Hoch-Fürstl. Holst. Universität Codic. und Mathematum Prof | EUCLIDES | Mit Algebraischen, oder aus der neuesten Löse-Kunst entlehneten Zeichen | auch des II. Buchs Vorträge nebst der gemeinen, auff Algebraische Ahrt beweisen | Teutscher | EUCLIDES","Universität Codic | JCti, Bey der Hoch-Fürstl. Holst. Universität Codic. und Mathematum Prof"
Leiden_1606,1606,Leiden,DUTCH,Jan Pietersz Dou,books_1_6,1-6,institutional-composite,4,Theoretical Mathematics,False,False,False,True,False,False,False,False,False,False,True,verclaert | Over-gheset | uytgheleyt | De ses eerste boucken EVCLIDIS | Van de beginselen ende fon-damenten der Geometri | der stadt Leyden Lantmeter ende Wijn-roeyer | De ses eerste boucken EVCLIDIS | een cort byvouchsel | de specien in Geometrische figueren | EVCLIDIS,der stadt Leyden Lantmeter ende Wijn-roeyer
Leiden_1607,1607,Leiden,DUTCH,Jan Pietersz Dou,books_1_6,1–6,practical-pedagogical,5,Practical Geometry,True,False,True,True,True,True,False,False,False,False,False,"gevoecht | Overgheset | verclaert | uytgheleyt | alle leergierige, liefhebbers der selver vryer Conste | De ses eerste Boucken EVCLIDIS | Van de beginselen ende fonda-menten der Geometri | der stadt Leyden Lantmeter ende Wijnroeyer | De ses eerste Boucken EVCLIDIS | by gevoecht sijn eenige nutticheden, uyt de selve Boecken ghetrocken | Mitsgaders de Specien in Geometrische figuren, als ’tmaecken, veranderen, ’t samenvougen, aftrecken, ver-menichvuldigen, ende deelen | Overgheset, verclaert, ende uytgheleyt | EVCLIDIS","alle leergierige, liefhebbers der selver vryer Conste | der stadt Leyden Lantmeter ende Wijnroeyer"
Leiden_and_Amsterdam_1673,1673,"Leiden, Amsterdam",LATIN,Christian Melder,books_1_6,1–6,institutional-composite,5,Theoretical Mathematics,False,False,False,False,False,False,False,False,False,False,True,Recogniti | EVCLIDIS ELEMENTORVM SEX PRIORES LIBRI | Matheseos Prof | EVCLIDIS ELEMENTORVM SEX PRIORES LIBRI | OPERA CHRISTIANI MELDER | CHRISTIANI MELDER | EVCLIDIS,Matheseos Prof
Leipzig_1549,1549,Leipzig,LATIN,"Joachim Kammermeister, Georg Joachim Rhäticus",books_1_6,1-6,institutional-composite,5,,False,False,False,False,False,False,True,False,False,False,True,CONVERSI | Edebat | EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBRI SEX | Lipsiæ | Rhet | EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBRI SEX | ser- monem à Ioach. Camerario | LATINVM | Εuκλείδου | EVCLIDIS,Lipsiæ | Rhet
