classification_key,year,city,language_first,author_or_editor,primary_classes,primary_subject_family,euclid_or_elements,mentions_euclid,mentions_elements_language,similarity_to_plus_solids_centroid,plus_profile_overlap_count,rich_claim_text_raw,rich_social_text_raw
Arnhem_1620,1620,Arnhem,LATIN,Juan Alfonso de Molina,Theoretical Mathematics,Geometry/Theory,True,True,True,0.6996718107234396,22,"corriguntur | reijciuntur | edita | donata | Euclidea Elementa | nonnulla corriguntur, nonnulla ut falsa reijciuntur | NOVA REPERTA GEOMETRICA | Hispanice edita, jam vero latinitate donata | Euclidea Elementa | Hispanice | latinitate | Euclidea",NICOLAO IANSONIO Arnh. Geldro
UQI2BV,1620,Strasbourg,LATIN,Eberhard Welper,Theoretical Mathematics,Geometry/Theory,True,False,True,0.6980387637054603,21,"collecta | elaboratis | ELEMENTA GEOMETRICA | IN VSVM GEOMETRIÆ | Studiosorum ex varijs Authoribus collecta | Philo-Geometram | ELEMENTA GEOMETRICA | Cum Figuris & Schematismis, in 32. tabulis æneis diligen- ter elaboratis, ob oculos positis",Philo-Geometram
bib-102,1652,Jena,GERMAN,Heinrich Hofmann,,No primary family,True,True,True,0.6926783670936153,14,Teutscher EuCLIDES | Geometrische Beschreibung | PRO- FESSORIS MATHEMA- TICI in der Univer- sitet Jena | ELEMENTEN | Teutscher EuCLIDES | Teutscher | Eu- CLIDES,Univer- sitet Jena | PRO- FESSORIS MATHEMA- TICI in der Univer- sitet Jena
bib-190,1701,London,ENGLISH,Samuel Jeake,Arithmetic | Commercial Mathematics,Arithmetic/Commerce,True,False,True,0.692399908941372,32,"added | Explain’d | Declared | Handled | Illustrated | digested | delivered | Merchants, and all that would understand ACCOUNTS, or the Mathematical  and Mechanical ARTS and SCIENCES | Body of Arithmetick | WHEREIN THE  Whole Nature of NUMBERS, with their Simple and Comparative  Elements in all the Parts of ARITHMETICK, are plainly Declared,  and fully Handled | Merchant | Excellent RULES of PRACTICE | Many Large and Exact TABLES of all Sorts of Coins, Weights,  Measures, &c. Ancient and Modern, in most Countries, reduced to our own | divers Etymologies, Symbols, Characters,  and Abbreviations for Artificial Terms, Words, Names,  and Denominations | Illustrated by sundry Tables, Diagrams, and very  many Examples","Merchants, and all that would understand ACCOUNTS, or the Mathematical  and Mechanical ARTS and SCIENCES | Merchant"
bib-145,1678,Madrid,SPANISH,José Zaragoza,Practical Geometry | Theoretical Mathematics,Geometry/Theory,True,True,False,0.6832835339886257,21,"EVCLIDES NVEVO-ANTIGVO | GEOMETRIA ESPECVLATIVA, Y PRACTICA DE LOS PLANOS, Y SOLIDOS | de la Compañía de Iesvs, Calificador de la Su- prema Inquisicion, Cathedratico de Theologia Escolástica en los Colegios de Mallorca, Barce- lona, y Valencia; y de Mathematica en el Impe- rial de Madrid: de la Real Junta de Minas, y Maestro de Mathematicas de su Mag. Carlos II | EVCLIDES NVEVO-ANTIGVO | EVCLIDES","de la Compañía de Iesvs | los Colegios de Mallorca, Barce- lona, y Valencia | el Imperial de Madrid | de la Real Junta de Minas | de la Compañía de Iesvs, Calificador de la Su- prema Inquisicion, Cathedratico de Theologia Escolástica en los Colegios de Mallorca, Barce- lona, y Valencia; y de Mathematica en el Impe- rial de Madrid: de la Real Junta de Minas, y Maestro de Mathematicas de su Mag. Carlos II | AL EXCmo. SEÑOR D. GREGORIO de Silva, &c. Principe de Melito, Duque del Infantado, y Pastrana, &c"
MorisS-16-7,1623,Paris,FRENCH,Denis Henrion,Theoretical Mathematics,Geometry/Theory,True,True,True,0.6827530453555674,17,les traducteurs & interpretes | dixiesme Liure d’Euclide | Mathematicien | Elements Geometriques d’Euclide | la response Apologetique | d’Euclide,les traducteurs & interpretes | Mathematicien
ustc-8,1605,Paris,FRENCH,Charles de Bovelles,Practical Geometry,Geometry/Theory,True,True,True,0.6796279774207976,23,"COMPOSEE | augmenté | tiré | contenus | COMPOSEE | augmenté | L’Art de mesurer toutes superficies Rectilignes | Elemens d'Euclide | des Elemens d’Euclide | COMPOSEE | augmenté par iceluy de quelques Annotations | augmenté par iceluy de quelques Annotations | NOBLE PHILOSOPHE | Chanoine de Noyon | tres-excellent Mathematicien | Lecteur & Professeur du Roy ès Mathematiques | NOBLE PHILOSOPHE | iadis Chanoine de Noyon | tres-excellent Mathematicien | Lecteur & Professeur du Roy és Mathematiques | M. Iean Pierre de Mesmes | M. Iean des Mersliers d’Amiens | Elemens d’Euclide | Elemens d'Euclide | quelques Annotations | Tables des chapitres | augmenté par iceluy de quelques Annotations | Avec Tables des chapitres contenus es faits liures | Vn Traicté des mesures Geometriques, des hauteurs accessibles, ou inaccessibles: & de toutes choses pleines ou profondes, selon leur longueur, largeur, & profondeur, par M. Iean Pierre de Mesmes, tres-excellent Mathematicien, augmenté par iceluy de quelques Annotations | Vn Traicté des mesures Geometriques, des hauteurs accessibles, ou inaccessibles. Co de toutes choses plienes ou profondes, selon leur longueur, largeur, & profondeur | PLUS L'Art de mesurer toutes superficies Rectilignes tiré des Elemens d'Euclide | Traicté des mesures Geometriques | Vn Traicté des mesures Geometriques, des hauteurs accessibles, ou inaccessibles | L'Art de mesurer toutes superficies Rectilignes | Elemens d’Euclide | Elemens d'Euclide",NOBLE PHILOSOPHE | Chanoine de Noyon | tres-excellent Mathematicien | Lecteur & Professeur du Roy ès Mathematiques | NOBLE PHILOSOPHE | iadis Chanoine de Noyon | tres-excellent Mathematicien | Lecteur & Professeur du Roy és Mathematiques | M. Iean Pierre de Mesmes | M. Iean des Mersliers d’Amiens
ustc-54,1608,Paris,FRENCH,Charles de Bovelles,Practical Geometry,Geometry/Theory,True,True,True,0.6778286236102018,22,"COMPOSEE | augmenté | tiré | Elemens d’Euclide | L’Art de mesurer toutes superficies Rectilignes | COMPOSEE | augmenté | NOBLE PHILOSOPHE | Chanoin de Noyon | tres-excellent Mathematicien | iadis Chanoin de Noyon | Lecteur & Profeſſeur du Roy ès Mathematiques | Elemens d’Euclide | de quelques Annotations | Tables des chapitres | Vn Traité des mesures Geometriques, des hanteurs accesſibles, ou inaccesſibles : & de toutes choſes pleines ou proſondes, ſelon leur longueur, largeur, & profondeur ; par M. Iean Pierre de Memes, tres-excellent Mathematicien, augmenté par ice- luy de quelques Annotations | Traité des mesures Geometriques | Elemens d’Euclide",NOBLE PHILOSOPHE | Chanoin de Noyon | tres-excellent Mathematicien | iadis Chanoin de Noyon | Lecteur & Profeſſeur du Roy ès Mathematiques
5V691B,1583,Basel,LATIN,Johannes Thomas Freig,,No primary family,True,True,False,0.674390420352532,16,illustratur | demonstratur | in Euclidis & Rami ἐννέαϐι- ϐλια | in quibus Logica veterum Mathematicorum illustratur & demonstratur | in Euclidis & Rami ἐννέαϐι- ϐλια | Euclidis,
Bologna_1620,1620,Bologna,ITALIAN,Pietro Antonio Cataldi,Practical Geometry,Geometry/Theory,True,True,True,0.6699603691531426,18,"ridotti alla Pratica | I PRIMI SEI LIBRI DE GL’ ELEMENTI d’Euclide | Ne mostrano le inventioni delle regole geometriche, arithmetiche, mechaniche, & d’astronomia, & d’ottimo uso | ridotti alla Pratica | LETTORE DELLE SCIENZE Matematiche nello Studio di Bologna | I PRIMI SEI LIBRI DE GL’ ELEMENTI d’Euclide | d’Euclide",Studio di Bologna | LETTORE DELLE SCIENZE Matematiche nello Studio di Bologna | ALL’ILL. ET NOBILISS. SIG. IL SIG. GREGORIO MALVEZZI
YPQYIR,1565,Paris,FRENCH,Pierre Forcadel,Mechanics,Applied Mechanics/Military,True,True,False,0.6686671514594762,19,TRADVICT | COMMEN-  té | traduit | com- menté | intitu- lé | Liure d'Euclide | du leger & du pesant | lecteur ordinaire du Roy es Mathematiques en l'V-  niuerfité de Paris | Liure d'Euclide | Liure d'Euclide intitu-  lé du leger & du pesant traduit & com-  menté par le mesme Forcadel | Liure d'Euclide | Euclide,l'V-  niuerfité de Paris | lecteur ordinaire du Roy es Mathematiques en l'V-  niuerfité de Paris
ZYVGSH,1662,Oxford,LATIN,William Oughtred,Theoretical Mathematics,Geometry/Theory,True,True,True,0.6660907125991128,14,ELEMENTI DECIMI EUCLIDIS | DECLARATIO | ELEMENTI DECIMI EUCLIDIS | De SOLIDIS REGULARIBUS TRACTATUS | De SOLIDIS REGULARIBUS TRACTATUS | EUCLIDIS,
