stratum_type,stratum,fields,n,avg_rich_claim_count,avg_social_arena_count,avg_tps_feature_has_count,avg_density_score,mode_sparse_canonical_count,mode_sparse_canonical_pct,sparse_canonical_identity_count,sparse_canonical_identity_pct,no_visible_social_arena_count,no_visible_social_arena_pct
bookgroup_format,elements_books_group=unknown_books | format_group=missing/unknown,elements_books_group + format_group,4,2.5,1.25,10.5,5.85,0,0.0,0,0.0,2,50.0
period_language_bookgroup,period=1600-1649 | language_first=FRENCH | elements_books_group=books_1_6,period + language_first + elements_books_group,4,5.0,0.5,12.75,8.05,0,0.0,0,0.0,2,50.0
period_language_bookgroup,period=1650-1699 | language_first=ENGLISH | elements_books_group=books_1_6_plus_solids,period + language_first + elements_books_group,4,6.25,2.25,14.0,11.3,0,0.0,0,0.0,0,0.0
period_language,period=1650-1699 | language_first=SPANISH,period + language_first,3,3.67,1.67,14.0,8.13,0,0.0,0,0.0,0,0.0
period_language,period=1700+ | language_first=DUTCH,period + language_first,3,6.0,1.0,11.67,9.33,0,0.0,0,0.0,0,0.0
language_format,language_first=ENGLISH | format_group=missing/unknown,language_first + format_group,3,4.33,1.67,11.33,8.27,0,0.0,0,0.0,1,33.3
period_format,period=1700+ | format_group=duodecimo,period + format_group,3,7.33,1.0,13.33,11.0,0,0.0,0,0.0,0,0.0
period_format,period=1700+ | format_group=folio,period + format_group,3,4.33,1.33,12.67,8.2,0,0.0,0,0.0,1,33.3
city_format,city=Antwerp | format_group=octavo,city + format_group,3,3.67,3.0,12.67,9.2,0,0.0,0,0.0,0,0.0
city_format,city=Rome | format_group=quarto,city + format_group,3,5.67,1.33,15.33,10.07,0,0.0,0,0.0,0,0.0
city_format,"city=Rouen, Paris | format_group=octavo",city + format_group,3,5.33,0.67,12.33,8.47,0,0.0,0,0.0,1,33.3
city_format,city=Wittenberg | format_group=octavo,city + format_group,3,4.0,2.33,11.0,8.53,0,0.0,0,0.0,0,0.0
period_language_format,period=1550-1599 | language_first=FRENCH | format_group=quarto,period + language_first + format_group,3,3.0,2.67,11.33,7.93,0,0.0,0,0.0,1,33.3
period_language_format,period=1650-1699 | language_first=ENGLISH | format_group=quarto,period + language_first + format_group,3,5.33,2.67,12.67,10.53,0,0.0,0,0.0,0,0.0
period_language_format,period=1650-1699 | language_first=LATIN | format_group=folio,period + language_first + format_group,3,2.0,3.33,11.67,7.67,0,0.0,0,0.0,0,0.0
period_language_format,period=1700+ | language_first=DUTCH | format_group=octavo,period + language_first + format_group,3,6.0,1.0,11.67,9.33,0,0.0,0,0.0,0,0.0
period_language_format,period=1700+ | language_first=ENGLISH | format_group=missing/unknown,period + language_first + format_group,3,4.33,1.67,11.33,8.27,0,0.0,0,0.0,1,33.3
period_language_format,period=1700+ | language_first=LATIN | format_group=quarto,period + language_first + format_group,3,5.0,2.33,12.0,9.73,0,0.0,0,0.0,0,0.0
bookgroup_format,elements_books_group=books_1_6_plus_solids | format_group=missing/unknown,elements_books_group + format_group,3,5.67,1.33,12.33,9.47,0,0.0,0,0.0,1,33.3
bookgroup_format,elements_books_group=near_complete_or_expanded | format_group=duodecimo,elements_books_group + format_group,3,5.0,1.33,13.0,8.93,0,0.0,0,0.0,1,33.3
bookgroup_format,elements_books_group=partial_from_book_1 | format_group=octavo,elements_books_group + format_group,3,3.67,0.67,11.33,6.6,0,0.0,0,0.0,2,66.7
period_language_bookgroup,period=1550-1599 | language_first=LATIN | elements_books_group=near_complete_or_expanded_enunciations,period + language_first + elements_books_group,3,6.33,0.0,10.0,8.33,0,0.0,0,0.0,3,100.0
period_language_bookgroup,period=1600-1649 | language_first=FRENCH | elements_books_group=unknown_books,period + language_first + elements_books_group,3,4.0,1.67,11.0,7.87,0,0.0,0,0.0,1,33.3
period_language_bookgroup,period=1600-1649 | language_first=GERMAN | elements_books_group=books_1_6,period + language_first + elements_books_group,3,4.33,0.0,15.33,7.4,0,0.0,0,0.0,3,100.0
period_language_bookgroup,period=1650-1699 | language_first=ENGLISH | elements_books_group=near_complete_or_expanded,period + language_first + elements_books_group,3,5.0,0.0,12.0,7.4,0,0.0,0,0.0,3,100.0
period_language_bookgroup,period=1700+ | language_first=DUTCH | elements_books_group=books_1_6,period + language_first + elements_books_group,3,6.0,1.0,11.67,9.33,0,0.0,0,0.0,0,0.0
period_language_bookgroup,period=1700+ | language_first=ENGLISH | elements_books_group=books_1_6,period + language_first + elements_books_group,3,5.0,2.33,13.33,10.0,0,0.0,0,0.0,0,0.0
