classification_key,year,city,language_first,author_or_editor,primary_classes,primary_subject_family,euclid_or_elements,mentions_euclid,mentions_elements_language,similarity_to_plus_solids_centroid,plus_profile_overlap_count,rich_claim_text_raw,rich_social_text_raw
ustc-7,1639,Paris,FRENCH,Nicolas Forest-Duchesne,Instrument Use,Instruments/Measurement,False,False,False,0.608360172534967,17,Renueü | augmentée | LA FLEVR DES PRATIQVES DV COMPAS DE PROPORTION | Où sont facilitez toutes les plus belles demonſtrations des Mathematiques | Renueü & augmentée par l’Auteur,Monſieur D’ORGEVAL
bib-61,1646,Leiden,LATIN,Frans van Schooten,Gnomonics & Horology | Theoretical Mathematics,Geometry/Theory | Instruments/Measurement,False,False,False,0.6079426815158072,17,"subnexa est | De ORGANICA CONICARUM SECTIONUM IN PLANO DESCRIPTIONE | GEOMETRIS, OPTICIS; Præsertim verò GNOMONICIS & MECHANICIS UTILIS | Leydensis | Appendix, de Cubicarum Æquationum resolutione",Leydensis
bib-264,1573,Antwerp,FRENCH,"Valentin Mennher, Michel Coignet",Arithmetic | Commercial Mathematics | Trigonometry,Geometry/Theory | Arithmetic/Commerce,False,False,False,0.6076678402313257,19,"Composé | reveu | corrigé | augmenté en plusieurs endroits | illustrées | amplifiées | tous ceux qui hantent la Trafique de Marchandise | LIVRE D’ARITHMETIQVE | contenant plusieurs belles questions & de-  mandes, propres & vtiles à tous ceux qui hantent la Trafique de Marchandise | reveu, corrigé, & augmenté en plusieurs endroits | La Solution des questions Mathematiques par la supputation de Sinus | illustrées | amplifiées | Une ample declaration sur le fait des Changes | Un petit discours de bien & deuëment disconter, auec la Solution sur diuerſes opinions y propoſées | La Solution des questions Mathematiques par la supputation de Sinus, illustrées & am- plifiées par les demonstrations Geome- triques necessaires à icelles | Une ample declaration sur le fait des Changes | Un petit discours de bien & deuëment disconter, auec la Solution sur diuerſes opinions y propoſées | La Solution des questions Mathematiques",tous ceux qui hantent la Trafique de Marchandise
Q4F538,1571,Nuremberg,GERMAN,Hans Lencker,Perspective | Practical Geometry,Geometry/Theory | Visual/Spatial Arts,False,False,False,0.606589432499899,15,beschrieben | eröffnet | gegeben wird | gebracht werden mag | verzückt | vnuerrückt | allen liebhabern guter künsten | PERSPECTIVA | Hierinnen auffs kürtzte beschrieben / mit exempeln eröffnet vnd an tag gegeben wird / ein newer besonder kurtzer / doch gerechter vnnd sehr leichter weg / wie allerley ding / es seyen Corpora / Gebew / oder was möglich zuerdencken vnd in grund zulegen ist / verzückt oder vnuerrückt / ferner in die Perspectyf gebracht werden mag / on eini- ge vergebliche linie / riß vñ puncten / 2c. dergleichen weg bißhero noch nit bekant gewese | mit exempeln,allen liebhabern guter künsten
bib-270,1668,Vlissingen,DUTCH,Cornelis Francoiszoon Eversdijck,Arithmetic | Commercial Mathematics,Arithmetic/Commerce,False,False,False,0.602703249685137,15,"by-gevoeght | een yeders competente | PACHT-TAFELEN | Waer door alle On-erbarene in de Reken-konste seer veerdigh en ge­ reect / konnen calculeren de Pacht, Huere, Onkoft, en Koop van Lande; ten abbenante van alle booz-gestelde Prijs, ’t Gemet, de Morgen, ofte Bunder | by-gevoeght de Proportionen van verschey­den Landt-maten | Midtsgaders eenige speculatieve Mathematische Questien",een yeders competente
bib-119,1646,Amsterdam,LATIN,Adriaan Metius,Arithmetic | Military Engineering | Practical Geometry | Surveying,Geometry/Theory | Arithmetic/Commerce | Instruments/Measurement | Applied Mechanics/Military,False,False,False,0.599358183905702,24,"verrijckt | gecorrigeert | den Landmeters en Ingenieurs | den Land-meters ende Ingenieurs | den Leser | MANUALE ARITHMETICÆ ET Geometriæ Practicæ | Beneffens de Stock-rekenninghe ofte Rabdologia J. Nepperi, cortelick en duydelick | In het welcke Beneffens de Stockrekeninge ofte Rhabdologia I. Neperi, kortelijck ende duydelijck ’t gene den Land-meters ende Ingenieurs, nopende het Land-meten ende Sterckten-bouwen noot­wendich is, geleert wordt ende exemplaerlijck aengewesen | nieu verrijckt met een nieuwe inventie | De tweede Editie | Med. D. & Ma- thes. Profess. ordin. binnen Franeker | Med. D. & Mathes. Prof. ordinar. binnen Franeker | J. Nepperi | I. Neperi | nieu verrijckt met een nieuwe inventie om alle ronde vatten hare wanhgheden af te pegelen",den Landmeters en Ingenieurs | den Land-meters ende Ingenieurs | den Leser | Med. D. & Ma- thes. Profess. ordin. binnen Franeker | Med. D. & Mathes. Prof. ordinar. binnen Franeker | J. Nepperi | I. Neperi
bib-91,1563,Venice,ITALIAN,Francesco Feliciano,Arithmetic | Practical Geometry | Theoretical Mathematics,Geometry/Theory | Arithmetic/Commerce,False,False,False,0.599292101848671,14,Composto | Stampato | Intitulato | Nuouamente Stampato | per maestro | Libro di Arithmetica & Geometria | Speculatiua & praticale | Nuouamente Stampato,per maestro
bib-169,1552,Paris,FRENCH,Oronce Finé,Astronomy | Cosmography | Geography,Cosmos/Earth,True,False,True,0.5990475060958491,21,"composée | divisée | comprenant | touchant | L’SPHERE DU MON- DE | PROPREMENT DITTE COS- mographie, composée nouvellement en françois, & divisée en cinq livres, comprenant la première partie de l’astronomie, & les principes universels de la géographie & hydrographie | NATIF DU Daulphiné | lecteur Mathematicien du tres-chrestien Roy de France en l’université de Paris | Avec une épistre, touchant la dignité, perfection & utilité des sciences mathematiques | en françois",l’université de Paris | NATIF DU Daulphiné | lecteur Mathematicien du tres-chrestien Roy de France en l’université de Paris
ustc-39,1621,Paris,FRENCH,Jean Errard,Practical Geometry,Geometry/Theory,False,False,False,0.598703894246839,17,"Reveuë | corrigée | beaucoup augmentée | LA GEOMETRIE ET PRATIQUE GENERALE D'ICELLE | Reveuë, corrigée, & beaucoup augmentée | de Bar-le Duc, Ingenieur ordinaire de sa Majesté | beaucoup augmentée","de Bar-le Duc, Ingenieur ordinaire de sa Majesté"
ustc-33,1618,Paris,FRENCH,Denis Henrion,Instrument Use,Instruments/Measurement,False,False,False,0.5986369351302392,18,"Traduict | Augmenté | TRAICTE' DES GLOBES, ET DE LEVR VSAGE | Mathematicien | ROBERT HVES | plusieurs nottes & operations du compas de proportion | Latin",Mathematicien | ROBERT HVES
