subject,n_primary,feature,count,pct
Practical Geometry,166,publisher_in_imprint,131,78.9
Practical Geometry,166,references_to_euclid,34,20.5
Surveying,38,action_verbs,27,71.1
Surveying,38,audience,22,57.9
Surveying,38,base_content,21,55.3
Surveying,38,bound_with,6,15.8
Surveying,38,bound_with_minimal,6,15.8
Surveying,38,content_description,22,57.9
Surveying,38,date_in_imprint,36,94.7
Surveying,38,dedicatee_name,6,15.8
Surveying,38,description_of_euclid,1,2.6
Surveying,38,destination_language,0,0.0
Surveying,38,edition_details,16,42.1
Surveying,38,editor_description,27,71.1
Surveying,38,editor_name,35,92.1
Surveying,38,educational_authorities_references,5,13.2
Surveying,38,elements_designation,3,7.9
Surveying,38,enriched_with,19,50.0
Surveying,38,institutions,4,10.5
Surveying,38,location_in_imprint,36,94.7
Surveying,38,origin_language,0,0.0
Surveying,38,printing_privilege,3,7.9
Surveying,38,publisher_in_imprint,35,92.1
Surveying,38,references_to_euclid,4,10.5
Theoretical Mathematics,271,action_verbs,188,69.4
Theoretical Mathematics,271,audience,48,17.7
Theoretical Mathematics,271,base_content,226,83.4
Theoretical Mathematics,271,bound_with,91,33.6
Theoretical Mathematics,271,bound_with_minimal,90,33.2
Theoretical Mathematics,271,content_description,135,49.8
Theoretical Mathematics,271,date_in_imprint,236,87.1
Theoretical Mathematics,271,dedicatee_name,57,21.0
Theoretical Mathematics,271,description_of_euclid,28,10.3
Theoretical Mathematics,271,destination_language,54,19.9
Theoretical Mathematics,271,edition_details,103,38.0
Theoretical Mathematics,271,editor_description,173,63.8
Theoretical Mathematics,271,editor_name,209,77.1
Theoretical Mathematics,271,educational_authorities_references,57,21.0
Theoretical Mathematics,271,elements_designation,173,63.8
Theoretical Mathematics,271,enriched_with,121,44.6
Theoretical Mathematics,271,institutions,98,36.2
Theoretical Mathematics,271,location_in_imprint,232,85.6
Theoretical Mathematics,271,origin_language,41,15.1
Theoretical Mathematics,271,printing_privilege,9,3.3
Theoretical Mathematics,271,publisher_in_imprint,229,84.5
Theoretical Mathematics,271,references_to_euclid,166,61.3
Trigonometry,45,action_verbs,32,71.1
Trigonometry,45,audience,12,26.7
Trigonometry,45,base_content,27,60.0
Trigonometry,45,bound_with,14,31.1
Trigonometry,45,bound_with_minimal,14,31.1
Trigonometry,45,content_description,21,46.7
Trigonometry,45,date_in_imprint,40,88.9
Trigonometry,45,dedicatee_name,6,13.3
Trigonometry,45,description_of_euclid,0,0.0
Trigonometry,45,destination_language,3,6.7
Trigonometry,45,edition_details,15,33.3
Trigonometry,45,editor_description,26,57.8
Trigonometry,45,editor_name,38,84.4
Trigonometry,45,educational_authorities_references,8,17.8
Trigonometry,45,elements_designation,9,20.0
Trigonometry,45,enriched_with,23,51.1
Trigonometry,45,institutions,11,24.4
Trigonometry,45,location_in_imprint,37,82.2
Trigonometry,45,origin_language,1,2.2
Trigonometry,45,printing_privilege,0,0.0
Trigonometry,45,publisher_in_imprint,39,86.7
Trigonometry,45,references_to_euclid,7,15.6
