neighbor_bucket,classification_key,year,city,language_first,author_or_editor,primary_classes,primary_subject_family,euclid_or_elements,mentions_euclid,mentions_elements_language,similarity_to_plus_solids_centroid,plus_profile_overlap_count,rich_claim_text_raw,rich_social_text_raw
euclid_language_practical_neighbor,bib-274,1607,Padua,LATIN,Baldassarre Capra,Instrument Construction | Instrument Use | Practical Geometry,Geometry/Theory | Instruments/Measurement,True,True,False,0.7148076060010077,19,"explicata | VSUS ET FABRICA CIRCINI CVIVSDAM PROPORTIONIS | omnia ferè tum Euclidis, tú Mathematicorum omnium problemata facili negotio resoluuntur | Nobilis Mediolanensis | Euclidis",Nobilis Mediolanensis
euclid_language_practical_neighbor,35H84Y,1642,Bologna,LATIN,Mario Bettini,Mechanics,Applied Mechanics/Military,True,True,False,0.7124345968565962,33,"traducta | confirmata | refertum | ornatum | distributum | ACCESSIT | dicata | APPLICATVS | conditus | Philosophis Mathematicis, sed & Physicis, Anatomicis, Militaribus viris, Machinariæ, Musicæ, Poeticæ, Agrariæ, Architecturæ, Mercaturæ professoribus | EVCLIDES APPLICATVS | E SOC. IESV, olim in publico Parmensi Gymnasio Philosophiæ Mathematicæ, & Philosophiæ Moralis Lectore | EVCLIDES APPLICATVS | noua pleraque Machinamenta ad vsus eximios traducta | facillimis demonstrationibus confirmata | curiosissimis inuentis refertum | figurarum æreis formis cusarum numerosa | speciosa varietate ornatum | gemino copiosissimo Indice | EVCLIDES APPLICATVS | EVCLIDES APPLICATVS | EVCLIDES | Euclideorum","Philosophis Mathematicis, sed & Physicis, Anatomicis, Militaribus viris, Machinariæ, Musicæ, Poeticæ, Agrariæ, Architecturæ, Mercaturæ professoribus | Coll. Tridentino Soc. Iesu | Parmensi Gymnasio Philosophiæ Mathematicæ | Parmensi Gymnasio | E SOC. IESV, olim in publico Parmensi Gymnasio Philosophiæ Mathematicæ, & Philosophiæ Moralis Lectore | MATTHIAE GALASSO SAC. ROM. IMPERII COMITI, &c"
euclid_language_practical_neighbor,bib-276,1560,Padua,LATIN,Francesco Barozzi,Practical Geometry | Theoretical Mathematics,Geometry/Theory,True,True,True,0.7105200826193568,21,"expurgati | aucti | donati | editi | PRIMUM EUCLIDIS Elementorum librum | COMMENTARIORUM AD UNIVERSAM MATHEMATICAM DISCIPLINAM PRINCIPIUM ERUDITIONIS TRADENTIUM | summa opera, cura, ac diligentia cunctis mendis expurgati: Scholiis, & Figuris, quæ in græco codice omnes desiderabantur, aucti: Primùm iam in Romanâ linguae venustate donati, & nunc recens editi | PROCLI DIADOCHI LYCII | PRIMUM EUCLIDIS Elementorum librum | Scholiis, & Figuris | Catalogo Deorum, & Virorum Illustrium, atque Auctorum | Catalogo Deorum | græco codice | Romanâ linguae | EUCLIDIS",PROCLI DIADOCHI LYCII
euclid_language_practical_neighbor,London_1700,1700,London,ENGLISH,William Alingham,Construction | Practical Geometry | Surveying,Geometry/Theory | Visual/Spatial Arts | Instruments/Measurement,True,True,False,0.7044752957623401,23,"Subjoin’d | First, Third, Fifth, Sixth, Eleventh, and Twelfth Books of EUCLID | EUCLID’s Second Book and Doctrine of Proportion | with their Application to several of the most useful parts of the Mathematicks | Teacher of the MATHEMATICKS | First, Third, Fifth, Sixth, Eleventh, and Twelfth Books of EUCLID | EUCLID’s Second Book | A Treatise of Measuring Superficies and Solids; Vulgarily Decimally and Practically, with the Customs used by Artificers in Measuring their several Works: Likewise, Directions for Measuring Board and Timber; Making Vessels of any Bigness; Taking the Plan of any Court, Yard, Garden, &c. Also, The cutting the Five Regular Bodies | Treatise of Measuring Superficies and Solids | EUCLID | EUCLID’s",Teacher of the MATHEMATICKS
general_practical_geometry_neighbor,bib-132,1647,Leeuwarden,Dutch,Anguilla Rosaeus,Surveying,Instruments/Measurement,False,False,False,0.7033708372248484,23,"by-gevoegt | yemandt | Hexameron Geometricum | Nieuw Onderwijs der Landt-Meterye | een corte Methode, Coherentiae ende aen-een-hanginge der gantscher Theologie",yemandt
general_practical_geometry_neighbor,ustc-10,1626,Paris,FRENCH,Michel Connette,Instrument Use | Practical Geometry,Geometry/Theory | Instruments/Measurement,False,False,False,0.702596523611932,26,"enrichy | composé | Traduit | pour tous curieux des Mathematiques | LA GEOMETRIE | REDVITE EN VNE FACILE ET BRIEFVE pratique | enrichy de huict diuisions par dessus le com- mun & ordinaire | composé en Italien par Michel Connette | Traduit en François | Mathematicien | Fabrice Mordente | Alexandre Farnese | enrichy de huict diuisions | PANTOMETRE OV COMPAS DE PROPORTION DE MICHEL CONNETTE | L’VSAGE DV COMPAS A huict pointes, inuenté par Fabrice Mordente | PANTOMETRE OV COMPAS | L’VSAGE DV COMPAS A huict pointes | en Italien | en François",pour tous curieux des Mathematiques | Mathematicien | Fabrice Mordente | Alexandre Farnese
general_practical_geometry_neighbor,bib-146,1671,Valencia,SPANISH,José Zaragoza,Practical Geometry | Theoretical Mathematics,Geometry/Theory,False,False,False,0.7021862439899764,17,"IMPRESSA | GEOMETRIA ESPECVLATIVA, Y PRATICA DE LOS PLANOS, Y SOLIDOS | M.R.P | de la Compañía de Iesus | Calificador del Santo Oficio | Cathedratico de Theologia Escolástica en los Colegios de Mallorca, Barcelona, y Valencia | agora de Mathematicas en los Estudios Reales del Imperial de Madrid","Compañía de Iesus | Colegios de Mallorca, Barcelona, y Valencia | Estudios Reales del Imperial de Madrid | Santo Oficio | M.R.P | de la Compañía de Iesus | Calificador del Santo Oficio | Cathedratico de Theologia Escolástica en los Colegios de Mallorca, Barcelona, y Valencia | agora de Mathematicas en los Estudios Reales del Imperial de Madrid | Ioseph Vicente del Olmo Cavallero, Secretario del Santo Oficio"
euclid_language_practical_neighbor,bib-190,1701,London,ENGLISH,Samuel Jeake,Arithmetic | Commercial Mathematics,Arithmetic/Commerce,True,False,True,0.692399908941372,32,"added | Explain’d | Declared | Handled | Illustrated | digested | delivered | Merchants, and all that would understand ACCOUNTS, or the Mathematical  and Mechanical ARTS and SCIENCES | Body of Arithmetick | WHEREIN THE  Whole Nature of NUMBERS, with their Simple and Comparative  Elements in all the Parts of ARITHMETICK, are plainly Declared,  and fully Handled | Merchant | Excellent RULES of PRACTICE | Many Large and Exact TABLES of all Sorts of Coins, Weights,  Measures, &c. Ancient and Modern, in most Countries, reduced to our own | divers Etymologies, Symbols, Characters,  and Abbreviations for Artificial Terms, Words, Names,  and Denominations | Illustrated by sundry Tables, Diagrams, and very  many Examples","Merchants, and all that would understand ACCOUNTS, or the Mathematical  and Mechanical ARTS and SCIENCES | Merchant"
visual_artisan_practical_geometry_neighbor,bib-55,1652,Paris,FRENCH,"Jean François Niceron, Marin Mersenne",Perspective,Visual/Spatial Arts,False,False,False,0.6900153914663462,21,"DIVISEE | mise en lumiere | DIVISEE EN QVATRE LIVRES | mise en lumiere après la mort de l’Autheur | PEINTRES, Architectes, Sculpteurs, Graueurs, & à tous autres qui se meslent du Dessein | Architectes, Sculpteurs, Graueurs, & à tous autres qui se meslent du Dessein | LA PERSPECTIVE CVRIEVSE | DIVISEE EN QVATRE LIVRES | DIVISEE EN QVATRE LIVRES | REVEREND | R. P. Mersenne | mise en lumiere | L’OPTIQVE | LA CATOPTRIQVE | L’OPTIQVE | LA CATOPTRIQVE","PEINTRES, Architectes, Sculpteurs, Graueurs, & à tous autres qui se meslent du Dessein | Architectes, Sculpteurs, Graueurs, & à tous autres qui se meslent du Dessein | Ordre | REVEREND | R. P. Mersenne"
general_practical_geometry_neighbor,ustc-13,1639,Paris,FRENCH,Jean Leurechon,Mechanics,Applied Mechanics/Military,False,False,False,0.6895556537298729,19,"discutées | reftablies | proposées | EXAMEN DU LIVRE DES RECREATIONS MATHEMATIQVES | de ses Problemes en Geometrie, Mechanique, Optique, & Catoptrique | DERNIERE EDITION | Efcuyer, Sieur de la Maillardé, Confeiller du Roy, & Treforier de France en Picardie | Où font aufli discutées & reftablies plufieurs experiences Phyfiques y proposées","Efcuyer, Sieur de la Maillardé, Confeiller du Roy, & Treforier de France en Picardie"
