group_type,group,n_elements,n_non_elements,metric,elements_count,elements_pct,non_elements_pct,delta
language_first,ENGLISH,20,47,claim_novelty_modernity_invention,6,30.0,27.7,2.3
period,1600-1649,75,248,court_state_service_arena,11,14.7,12.5,2.2
language_first,FRENCH,53,209,pedagogical_school_arena,6,11.3,9.1,2.2
period,pre-1550,32,49,claim_utility_practice_application,2,6.2,4.1,2.2
language_first,GERMAN,13,45,Arithmetic/Commerce,2,15.4,13.3,2.1
language_first,GERMAN,13,45,utility_public_book,2,15.4,13.3,2.1
period,1550-1599,55,125,claim_completeness_totality_system,9,16.4,14.4,2.0
period,1600-1649,75,248,general_public_lovers_arena,6,8.0,6.0,2.0
language_first,DUTCH,21,30,claim_completeness_totality_system,1,4.8,3.3,1.4
language_first,DUTCH,21,30,sparse_canonical_identity,1,4.8,3.3,1.4
language_first,DUTCH,21,30,patronage_prestige_arena,1,4.8,3.3,1.4
language_first,GERMAN,13,45,composite_workshop_book,1,7.7,6.7,1.0
language_first,ITALIAN,12,52,method_access_book,1,8.3,7.7,0.6
language_first,ITALIAN,12,52,court_state_service_arena,1,8.3,7.7,0.6
language_first,LATIN,139,167,patronage_prestige_arena,9,6.5,6.0,0.5
language_first,FRENCH,53,209,Music,1,1.9,1.4,0.5
period,1650-1699,83,120,Music,1,1.2,0.8,0.4
language_first,FRENCH,53,209,patronage_prestige_arena,7,13.2,12.9,0.3
period,1550-1599,55,125,claim_visual_material_aids,8,14.5,14.4,0.1
period,1600-1649,75,248,military_fortification_arena,1,1.3,1.2,0.1
period,1600-1649,75,248,claim_completeness_totality_system,10,13.3,13.3,0.0
language_first,LATIN,139,167,claim_visual_material_aids,18,12.9,13.2,-0.2
language_first,FRENCH,53,209,general_public_lovers_arena,6,11.3,11.5,-0.2
language_first,LATIN,139,167,method_access_book,6,4.3,4.8,-0.5
language_first,ENGLISH,20,47,professional_practical_arena,2,10.0,10.6,-0.6
language_first,ITALIAN,12,52,claim_visual_material_aids,2,16.7,17.3,-0.6
period,1700+,40,15,claim_translation_vernacularization_transfer,5,12.5,13.3,-0.8
period,1600-1649,75,248,sparse_canonical_identity,2,2.7,3.6,-1.0
period,1650-1699,83,120,general_public_lovers_arena,6,7.2,8.3,-1.1
language_first,LATIN,139,167,sparse_canonical_identity,10,7.2,8.4,-1.2
language_first,GERMAN,13,45,sparse_canonical_identity,1,7.7,8.9,-1.2
period,1550-1599,55,125,claim_correction_revision_accuracy,5,9.1,10.4,-1.3
language_first,LATIN,139,167,general_public_lovers_arena,3,2.2,3.6,-1.4
period,1550-1599,55,125,method_access_book,1,1.8,3.2,-1.4
period,1550-1599,55,125,professional_practical_arena,1,1.8,3.2,-1.4
language_first,LATIN,139,167,professional_practical_arena,2,1.4,3.0,-1.6
language_first,ITALIAN,12,52,Geometry/Theory,6,50.0,51.9,-1.9
period,1650-1699,83,120,claim_augmentation_enrichment_composition,25,30.1,32.5,-2.4
period,1600-1649,75,248,claim_novelty_modernity_invention,7,9.3,11.7,-2.4
period,1650-1699,83,120,utility_public_book,7,8.4,10.8,-2.4
language_first,FRENCH,53,209,sparse_canonical_identity,1,1.9,4.3,-2.4
period,1700+,40,15,claim_completeness_totality_system,7,17.5,20.0,-2.5
period,1700+,40,15,method_access_book,7,17.5,20.0,-2.5
period,1600-1649,75,248,professional_practical_arena,6,8.0,10.5,-2.5
period,1550-1599,55,125,court_state_service_arena,10,18.2,20.8,-2.6
language_first,ENGLISH,20,47,claim_correction_revision_accuracy,5,25.0,27.7,-2.7
period,pre-1550,32,49,Music,1,3.1,6.1,-3.0
period,1650-1699,83,120,composite_workshop_book,23,27.7,30.8,-3.1
period,1550-1599,55,125,Cosmos/Earth,4,7.3,10.4,-3.1
period,1700+,40,15,utility_public_book,4,10.0,13.3,-3.3
period,1700+,40,15,patronage_prestige_arena,4,10.0,13.3,-3.3
language_first,FRENCH,53,209,claim_novelty_modernity_invention,3,5.7,9.1,-3.4
language_first,LATIN,139,167,Applied Mechanics/Military,1,0.7,4.2,-3.5
period,1650-1699,83,120,court_state_service_arena,6,7.2,10.8,-3.6
period,1550-1599,55,125,sparse_canonical_identity,2,3.6,7.2,-3.6
period,1550-1599,55,125,utility_public_book,1,1.8,5.6,-3.8
period,1700+,40,15,Visual/Spatial Arts,1,2.5,6.7,-4.2
period,1550-1599,55,125,claim_novelty_modernity_invention,2,3.6,8.0,-4.4
language_first,LATIN,139,167,Music,1,0.7,5.4,-4.7
language_first,LATIN,139,167,claim_novelty_modernity_invention,9,6.5,11.4,-4.9
language_first,FRENCH,53,209,utility_public_book,4,7.5,12.4,-4.9
period,1550-1599,55,125,general_public_lovers_arena,3,5.5,10.4,-4.9
period,1650-1699,83,120,patronage_prestige_arena,2,2.4,7.5,-5.1
language_first,DUTCH,21,30,claim_novelty_modernity_invention,8,38.1,43.3,-5.2
period,1650-1699,83,120,claim_selection_extraction_abridgment,10,12.0,17.5,-5.5
period,1650-1699,83,120,Visual/Spatial Arts,3,3.6,9.2,-5.6
language_first,LATIN,139,167,claim_utility_practice_application,3,2.2,7.8,-5.6
