classification_key,year,city,language,primary_classes,base_content,elements_designation,references_to_euclid
London_1680–81,1680/1681,London,ENGLISH,Arithmetic | Astronomy | Cartography | Cosmography | Geography | Navigation | Practical Geometry | Theoretical Mathematics | Trigonometry,the first Six Books of Euclid’s ELEMENTS,the first Six Books of Euclid’s ELEMENTS,Euclid’s ELEMENTS
London_1685,1685,London,LATIN,,EUCLIDIS ELEMENTORUM Libri XV,EUCLIDIS ELEMENTORUM Libri XV,EUCLIDIS
Lund_1855,1855,Lund,SWEDISH,Theoretical Mathematics,"sjunde, åttonde, nionde och tionde böckerna af Euclids Elementer",Euclids Elementer,Euclids
Lyon_1603,1603,Lyon,LATIN,,GEOMETRIAM EVCLIDIS prioribus sex Elementorum,GEOMETRIAM EVCLIDIS prioribus sex Elementorum,GEOMETRIAM EVCLIDIS
Lyon_1660,1660,Lyon,LATIN,Theoretical Mathematics,EVCLIDIS ELEMENTORVM Libri octo,EVCLIDIS ELEMENTORVM Libri octo,EVCLIDIS
Lyon_1669,1669,Lyon,LATIN,Theoretical Mathematics | Trigonometry,SYNOPSIS GEOMETRICA,,
Lyon_1672,1672,Lyon,FRENCH,Theoretical Mathematics,HVICT LIVRES DES ELEMENTS DEVCLIDE,HVICT LIVRES DES ELEMENTS DEVCLIDE,DEVCLIDE
Lyon_1674,1674,Lyon,LATIN,Architecture | Arithmetic | Construction | Geography | Mechanics | Practical Geometry | Trigonometry,EV- CLIDIS LIBROS OCTO,EV- CLIDIS LIBROS OCTO,EV- CLIDIS
Lyon_1690,1690,Lyon,LATIN,Arithmetic | Theoretical Mathematics | Trigonometry,Euclidis Libros XIV,Euclidis Libros XIV,Euclidis
MIZPJ8,1568,Nuremberg,GERMAN,Perspective,PERSPECTIVA. Corporum Regularium,Elementis,Euclides
MMJVXG,1625,Leiden,FRENCH,Arithmetic,ARITHMETIQVE DE SIMON STEVIN DE BRVGES,,
Madrid_1665,1665,Madrid,SPANISH,Architecture | Practical Geometry | Theoretical Mathematics,QVINTO Y SEPTIMO libros de Euclides,QVINTO Y SEPTIMO libros de Euclides,Euclides
Messina_1558,1558,Messina,LATIN,Astronomy | Theoretical Mathematics | Trigonometry,EV- CLIDIS PHAENOMENA,,EV- CLIDIS
Milan_1671,1671,Milan,ITALIAN,Theoretical Mathematics,I PRIMI SEI LIBRI D’EVCLIDE,I PRIMI SEI LIBRI D’EVCLIDE,EVCLIDE
MorisS-10-3,1659,Rome,LATIN,Theoretical Mathematics | Trigonometry,OPVSCVLVM GEOMETRICVM DE LINEA SINVVM ET CYCLOIDE,,
MorisS-13-1,1632,Paris,LATIN,Astronomy,MERCVRIVS IN SOLE VISVS: ET VENVS INVISA,,
MorisS-13-2,1642,Paris,LATIN,Astronomy,DE MOTU IMPRESSO A MOTORE,,
MorisS-14-1,1626,The Hague,FRENCH,Trigonometry,"TABLES DES SINVS TANGENTES & SECANTES, SELON LE RAID DE 100000 PARTIES",,
MorisS-15-1,1630,Paris,FRENCH,Theoretical Mathematics,"EXAMEN DE LA DVPLICATION DV CVBE, ET QVADRATVRE DV CERCLE",,
MorisS-16-7,1623,Paris,FRENCH,Theoretical Mathematics,dixiesme Liure d’Euclide,Elements Geometriques d’Euclide,d’Euclide
MorisS-18-3,1659,,LATIN,Theoretical Mathematics,Excerpta ex quarto libro de Cycloide Antonii Laloveræ,,
MorisS-18-4,1660,Toulouse,LATIN,Theoretical Mathematics,VETERVM GEOMETRIA PROMOTA IN SEPTEM DE CYCLOIDE LIBRIS,,
MorisS-21-1,1626,Paris,LATIN,,SYNOPSIS MATHEMATICA,,
MorisS-21-6,1634,Paris,FRENCH,Music Theory,LES PRELVDES DE L’HARMONIE VNIVERSELLE,,
MorisS-23-2,1631,Paris,LATIN,Theoretical Mathematics,PRODROMI CATOPTRICORVM ET DIOPTRICORVM,,
MorisS-24-3,1646,Paris,LATIN,Perspective,"THAVMATVRGVS OPTICVS, SEV ADMIRANDA",,
MorisS-25-3,1665,Paris,FRENCH,Arithmetic | Theoretical Mathematics,TRAITÉ DV TRIANGLE ARITHMETIQVE,,
MorisS-26-2,1665,Paris,FRENCH,Astronomy,DISSERTATION SVR LA NATVRE DES COMETES,,
MorisS-27-2,1644,Paris,LATIN,Astronomy,ARISTARCHI SAMII DE MVNDI SYSTEMATE,,
MorisS-3-2,1643,Paris,LATIN,Theoretical Mathematics,NOVA GEOMETRIAE CLAVIS ALGEBRA,,
MorisS-3-3,1656,Dijon,LATIN,Astronomy,TABULAE LODOICAE SEV,,
MorisS-3-5,1660,Paris,LATIN,Arithmetic | Theoretical Mathematics,DIOPHANTVS GEOMETRA SIVE OPVS CONTEXTVM EX ARITHMETICA ET GEOMETRIA,,
MorisS-4-3,1645,Paris,FRENCH,Construction,TRAICTE’ DES MANIERES DE GRAVER EN TAILLE DOVCE SVR L’AIRIN,,
MorisS-5-4,1657,Paris,LATIN,Theoretical Mathematics,DE LINEIS SPIRALIBVS,,
N000JX,1516,Alcala,LATIN,Arithmetic | Astronomy | Music Theory,Cursus quattuor mathematica- rum artium liberalium,,
N61RR8,1605,Leiden,DUTCH,Perspective,TROISIESME VOLVME DES MEMOIRES MATHE- MATIQVES DES PERSPECTIVES,,
Naples_1679,1679,Naples,LATIN,,EUCLIDIS ELEMENTORUM LIBRI SEX,EUCLIDIS ELEMENTORUM LIBRI SEX,EUCLIDIS
Naples_1702,1702,Naples,LATIN,Theoretical Mathematics,EVCLIDIS ELEMENTA,EVCLIDIS ELEMENTA,EVCLIDIS
Naples_1810,1810,Naples,ITALIAN,,I PRIMI SEI LIBRI DEGLI ELEMENTI DI EUCLIDE | I primi sei libri degli elementi di Euclide,I PRIMI SEI LIBRI DEGLI ELEMENTI DI EUCLIDE | I primi sei libri degli elementi di Euclide,EUCLIDE | stesso Euclide | Euclide
Nuremberg_1539,1539,Nuremberg,GERMAN,Practical Geometry,Das erst buch der Geometria,Das erst buch der Geometria,Euclide
Nuremberg_1625,1625,Nuremberg,GERMAN,Practical Geometry,EUCLIDIS ELEMENTA PRACTICA,EUCLIDIS ELEMENTA PRACTICA,EUCLIDIS | Euclidis
Nuremberg_1821,1821,Nuremberg,GERMAN,,des ersten Buchs der Elemente Euclid’s,ersten Buchs der Elemente Euclid’s,Euclid’s
OGXS5A,1620,Lyon,LATIN,Theoretical Mathematics | Trigonometry,LOGARITHMORVM CANONIS CON-STRVCTIO,,
Osnabrück_1676,1676,Osnabrück,LATIN,Theoretical Mathematics,ELEMENTORVM EUCLIDIS Libri XV,ELEMENTORVM EUCLIDIS Libri XV,ELEMENTORVM EUCLIDIS
Oxford_1701,1701,Oxford,LATIN,,"EUCLIDIS ELEMENTORUM LIBRI PRIORES SEX, ITEM UNDECIMUS & DUODECIMUS","EUCLIDIS ELEMENTORUM LIBRI PRIORES SEX, ITEM UNDECIMUS & DUODECIMUS",EUCLIDIS
Oxford_1703,1703,Oxford,"LATIN, GREEK",Theoretical Mathematics,EUCLIDIS,EUCLIDIS,ΕΥΚΛΕΙΔΟΥ | EUCLIDIS
P3JCQH,1652,Leuven,LATIN,Arithmetic,EUCLIDES LOGISTICUS,,EUCLIDES | EUCLIDEA
Paris_1500,1500,Paris,LATIN,Astronomy,Geometria Euclidis,Geometria Euclidis,Euclidis
Paris_1534a,1534,Paris,LATIN,,ELEMENTALE GEOMETRI,ELEMENTALE GEOMETRI,EUCLIDIS
Paris_1549,1549,Paris,LATIN,Theoretical Mathematics,EVCLIDES | EVCLIDIS elementorum libri QVINDECIM,EVCLIDES | EVCLIDIS elementorum libri QVINDECIM,EVCLIDIS
Paris_1551a,1551,Paris,LATIN,Theoretical Mathematics,Euclidis elementorum LIBER DECIMVS,Euclidis elementorum LIBER DECIMVS,Euclidis
Paris_1552,1552,Paris,LATIN,Theoretical Mathematics,Euclidis elementorum LIBER DECIMVS,Euclidis elementorum LIBER DECIMVS,Euclidis
Paris_1564,1564,Paris,FRENCH,,LES SIX PREMIERS LIVRES DES ELEMENTS D’EV- CLIDE,LES SIX PREMIERS LIVRES DES ELEMENTS D’EV- CLIDE,EV- CLIDE
