name,page_number,reference,is_bold,volume
Campanella,604,,true,vol_1
Candale (de),,Foix (François de),false,vol_1
Capugnano,344,,false,vol_1
Caquey (Louis),494,,false,vol_1
Carcavy (de),xxxviii,,false,vol_1
Cardan,13,,false,vol_1
Cardan,70,,false,vol_1
Cardan,97,,true,vol_1
Cardan,104,,false,vol_1
Cardan,105,,false,vol_1
Cardan,108,,true,vol_1
Cardan,141,,false,vol_1
Cardan,153,,false,vol_1
Cardan,156,,false,vol_1
Cardan,183,,false,vol_1
Cardan,242,,false,vol_1
Cardan,257,,false,vol_1
Cardan,288,,false,vol_1
Cardan,399,,false,vol_1
Cardan,496,,true,vol_1
Cardan,505,,false,vol_1
Carneade,524,,false,vol_1
Carpentarius (Nicolas),,Charpentier,false,vol_1
Casaubon,343,,false,vol_1
Casaubon,509,,false,vol_1
Cassiodore,494,,true,vol_1
Cassiodore,508,,false,vol_1
Castelfranc (Sr de),202,,false,vol_1
Castelli,524,,false,vol_1
Castellion,55,,false,vol_1
Castelnau (Michel de),137,,false,vol_1
Cato,88,,false,vol_1
Catulle,215,,false,vol_1
Caurroy (Eustache du),81,,false,vol_1
Caurroy (Eustache du),370,,true,vol_1
Caurroy (Eustache du),585,,true,vol_1
Caus (Sal. de),294,,false,vol_1
Caus (Sal. de),299,,false,vol_1
Caus (Sal. de),319,,false,vol_1
Caus (Sal. de),350,,true,vol_1
Caussin (le P. Nicolas),xxxii,,false,vol_1
Cauvigny (François de),42,,false,vol_1
Cavendish (Ch.),xlviii,,false,vol_1
