title_page_key,classification_key,is_reprint_nonrepresentative,cluster_key
Madrid_1585,Madrid_1585,False,
Mainz_1611_1612,Mainz_1611_1612,False,
Messina_1558,Messina_1558,False,
Milan_1702,Milan_1702,False,
MorisS-1-1,MorisS-1-1,False,
MorisS-10-1,MorisS-10-1,False,
MorisS-10-3,MorisS-10-3,False,
MorisS-12-1,MorisS-12-1,False,
MorisS-13-1,MorisS-13-1,False,
MorisS-13-2,MorisS-13-2,False,
MorisS-13-3,MorisS-13-3,False,
MorisS-13-4,MorisS-13-4,False,
MorisS-13-5,MorisS-13-5,False,
MorisS-14-1,MorisS-14-1,False,
MorisS-14-3,MorisS-14-3,False,
MorisS-15-1,MorisS-15-1,False,
MorisS-15-2,MorisS-15-2,False,
MorisS-16-1,MorisS-16-1,False,
MorisS-16-10,MorisS-16-10,False,
MorisS-16-11,MorisS-16-11,False,
MorisS-16-3,MorisS-16-3,False,
MorisS-16-4,MorisS-16-4,False,
MorisS-16-5,MorisS-16-5,False,
MorisS-16-6,MorisS-16-6,False,
MorisS-16-7,MorisS-16-7,False,
MorisS-17-3,MorisS-17-3,False,
MorisS-18-1,MorisS-18-1,False,
MorisS-18-3,MorisS-18-3,False,
MorisS-18-4,MorisS-18-4,False,
MorisS-2-1,MorisS-2-1,False,
MorisS-20-5,MorisS-20-5,False,
MorisS-20-6,MorisS-20-6,False,
MorisS-21-1,MorisS-21-1,False,
MorisS-21-10,MorisS-21-10,False,
MorisS-21-11,MorisS-21-11,False,
MorisS-21-12,MorisS-21-12,False,
MorisS-21-13,MorisS-21-13,False,
MorisS-21-2,MorisS-21-2,False,
MorisS-21-4,MorisS-21-4,False,
MorisS-21-5,MorisS-21-5,False,
MorisS-21-6,MorisS-21-6,False,
MorisS-21-7,MorisS-21-7,False,
MorisS-21-8,MorisS-21-8,False,
MorisS-21-9,MorisS-21-9,False,
MorisS-22-2,MorisS-22-2,False,
MorisS-22-3,MorisS-22-3,False,
MorisS-22-4,MorisS-22-4,False,
MorisS-22-5,MorisS-22-5,False,
MorisS-22-6,MorisS-22-6,False,
MorisS-22-7,MorisS-22-7,False,
MorisS-23-1,MorisS-23-1,False,
MorisS-23-2,MorisS-23-2,False,
MorisS-24-1,MorisS-24-1,False,
MorisS-24-2,MorisS-24-2,False,
MorisS-24-3,MorisS-24-3,False,
MorisS-25-3,MorisS-25-3,False,
MorisS-25-4,MorisS-25-4,False,
MorisS-25-8,MorisS-25-8,False,
MorisS-26-1,MorisS-26-1,False,
MorisS-26-2,MorisS-26-2,False,
MorisS-27-1,MorisS-27-1,False,
MorisS-27-2,MorisS-27-2,False,
MorisS-28-1,MorisS-28-1,False,
MorisS-3-1,MorisS-3-1,False,
MorisS-3-2,MorisS-3-2,False,
MorisS-3-3,MorisS-3-3,False,
MorisS-3-4,MorisS-3-4,False,
MorisS-3-5,MorisS-3-5,False,
MorisS-3-6,MorisS-3-6,False,
MorisS-4-1,MorisS-4-1,False,
MorisS-4-2,MorisS-4-2,False,
MorisS-4-3,MorisS-4-3,False,
MorisS-4-4,MorisS-4-4,False,
MorisS-4-5,MorisS-4-5,False,
MorisS-4-6,MorisS-4-6,False,
MorisS-4-7,MorisS-4-7,False,
MorisS-5-1,MorisS-5-1,False,
MorisS-5-2,MorisS-5-2,False,
MorisS-5-3,MorisS-5-3,False,
MorisS-5-4,MorisS-5-4,False,
MorisS-7-1,MorisS-7-1,False,
MorisS-8-2,MorisS-8-2,False,
MorisS-8-3,MorisS-8-3,False,
MorisS-9-3,MorisS-9-3,False,
N000JX,N000JX,False,
N1D1J1,N1D1J1,False,
N61RR8,N61RR8,False,
NTML0S,MYFHIS,True,6A2A3B
NYJL4C,NYJL4C,False,
Naples_1701,Naples_1701,False,
Naples_1702,Naples_1702,False,
Naples_1810,Naples_1810,False,1E43FB
Nuremberg_1539,Nuremberg_1539,False,
Nuremberg_1625,Nuremberg_1625,False,
Nuremberg_1821,Nuremberg_1821,False,
OGXS5A,OGXS5A,False,
OM1R2Y,6AMYTJ,True,T5RNN2
OQBIL8,OQBIL8,False,
