key,city,languages,compositors,long_title,short_title,short_title_source,year_from,year_to,year_is_approximate,notes,has_diagrams
ms_133,,,,,,,1400,1500,True,"class: Latin manuscripts
subclass: Campanus of Novara",
ms_134,,,,,,,1300,1400,True,"class: Latin manuscripts
subclass: An-Nayrizi's Commentary on Books I-X",
ms_135,,,,,,,1300,1400,True,"class: Greek manuscripts
subclass: Recentiores",
ms_136,,,,,,,1500,1600,True,"class: Greek manuscripts
subclass: Novelli",
ms_137,,,,,,,1500,1600,True,"class: Greek manuscripts
subclass: Novelli",
ms_138,,,,,,,1400,1500,True,"class: Greek manuscripts
subclass: Novelli",
ms_139,,,,,,,1400,1500,True,"class: Greek manuscripts
subclass: Novelli",
ms_140,,,,,,,1400,1600,True,"class: Greek manuscripts
subclass: Epitomes",
ms_141,,,,,,,1533,1533,True,"class: Greek manuscripts
subclass: Secondary
this is Basel_1533 which has books 1-13",
ms_143,,,,,,,1695,1695,True,,True
ms_144,,,,,,,1300,1500,True,,
ms_145,,,,,,,1400,1600,True,,
ms_147,,,,,,,1600,1700,True,"A notebook (not a manual) from the 17th century, including algebraic+arithmetic interpretation of book 2
http://ds.lib.berkeley.edu/PlimptonMS244_20",
ms_148,,,,,,,1478,1478,True,"The Treviso Arithmetic, an anonymous textbook in commercial arithmetic, the earliest known printed mathematics book.
https://data.cerl.org/istc/ia01141000
USTC no 760385
Translation:
https://tau.primo.exlibrisgroup.com/permalink/972TAU_INST/quev9q/alma990011438890204146
Partial translation pdf:
https://drive.google.com/file/d/135ECwlowRXKYIIgy-mXsVohWQpj0AlVg/view",
ms_149,,,,,,,1100,1300,True,,
ms_150,,,,,,,1594,1594,True,"Euclid.; Ṭūsī, Naṣīr al-Dīn Muḥammad ibn Muḥammad, 1201-1274 translator; This copy dated 1594",True
ms_151,,,,,,,1300,1400,True,"subclass: Adelard II
Verschiedene Schriften 16",
ms_152,,,,,,,1100,1200,True,"subclass: Adelard II
Balliol College MS 257, 12th century, appears to be fully digitized. Mentioned by Heath, 1925 as  Ball. Coll. 257I, Chap 8. The digitized copy is, however, not well photographed, with a number of pages heavily cropped. Surprisingly the photographs are stored on flickr.",
ms_153,,,,,,,,,True,"subclass: Adelard II
Vatican  Reg Lat. 1137, fully digitized (listed by Folkerts) - it looks like only a very small part of this is Adelard I. Folkerts suggests f.73-74 to include X 24, X 27",
ms_154,,,,,,,1300,1400,True,"subclass: Adelard II
https://www.davidboeno.org/GROEUVRE//I1p/BritLib/Harley5404.html
https://www.davidboeno.org/GROEUVRE//I1p/BritLib/Harley5404iv03.html",
ms_155,,,,,,,1480,1480,True,subclass: Adelard II,
ms_156,,,,,,,1300,1400,True,,
ms_157,,,,,,,,,True,"class: Al-Khazini's Epitome of his Zij as-Sanjari
A PDF of a photocopy of manuscript 682 in the library of the Sipahsalar Mosque in Tehran, Iran containing the Zij as-Sanjari (Arabic). [This manuscript includes the astronomical tables of the Zij. ] (From the collection of David E. Pingree)",False
ms_158,,,,,,,,,True,"class: Al-Khazini's Epitome of his Zij as-Sanjari
A PDF of a photocopy of a microfilm of manuscript 859 of the Hamidiye collection in the Suleymaniye Library in Istanbul containing the Zij as-Sanjari (Arabic). [This manuscript does not contain the astronomical tables of the Zij.] (From the collection of David E. Pingree)",
ms_327,,,,,,,1400,1500,True,class: Galileo,
ms_328,,,,,,,800,900,True,"class: Boethius tradition
subclass: Cassiodorus, Institutiones, third recension",
ms_329,,,,,,,900,1100,True,"class: Boethius tradition
subclass: Cassiodorus, Institutiones, third recension",
ms_330,,,,,,,900,1000,True,"class: Boethius tradition
subclass: Cassiodorus, Institutiones, third recension",
ms_331,,,,,,,900,1000,True,"class: Boethius tradition
subclass: Cassiodorus, Institutiones, third recension",
ms_332,,,,,,,800,900,True,"class: Boethius tradition
subclass: Cassiodorus, Institutiones, third recension",
ms_333,,,,,,,1004,1004,True,"class: Boethius tradition
subclass: Manuscripts of the Corpus agrimensorum",
ms_334,,,,,,,1100,1200,True,"class: Boethius tradition
subclass: Manuscripts of the Corpus agrimensorum",
ms_335,,,,,,,1100,1200,True,"class: Boethius tradition
subclass: Manuscripts of the Corpus agrimensorum",
ms_336,,,,,,,1100,1200,True,"class: Boethius tradition
subclass: Manuscripts of the Corpus agrimensorum",
ms_337,,,,,,,900,1000,True,"class: Boethius tradition
subclass: Manuscripts of the Corpus agrimensorum",
ms_338,,,,,,,1500,1600,True,"class: Boethius tradition
subclass: Manuscripts of the Corpus agrimensorum",
ms_339,,,,,,,1100,1200,True,"class: Boethius tradition
subclass: Manuscripts of the Corpus agrimensorum",
ms_340,,,,,,,800,900,True,"class: Boethius tradition
subclass: Manuscripts of the Corpus agrimensorum",
ms_341,,,,,,,800,900,True,"class: Boethius tradition
subclass: Manuscripts of the Corpus agrimensorum",
ms_342,,,,,,,900,1000,True,"class: Boethius tradition
subclass: Pseudo-Boethius, Geometry I",
ms_343,,,,,,,1004,1004,True,"class: Boethius tradition
subclass: Pseudo-Boethius, Geometry I",
ms_344,,,,,,,1000,1100,True,"class: Boethius tradition
subclass: Pseudo-Boethius, Geometry I",
ms_345,,,,,,,900,1000,True,"class: Boethius tradition
subclass: Pseudo-Boethius, Geometry I",
ms_346,,,,,,,1400,1500,True,"class: Boethius tradition
subclass: Pseudo-Boethius, Geometry I",
ms_347,,,,,,,1100,1200,True,"class: Boethius tradition
subclass: Pseudo-Boethius, Geometry I",
ms_348,,,,,,,900,1100,True,"class: Boethius tradition
subclass: Pseudo-Boethius, Geometry I",
ms_349,,,,,,,1200,1300,True,"class: Boethius tradition
subclass: Pseudo-Boethius, Geometry I",
ms_350,,,,,,,1100,1200,True,"class: Boethius tradition
subclass: Pseudo-Boethius, Geometry I",
ms_351,,,,,,,1100,1200,True,"class: Boethius tradition
subclass: Pseudo-Boethius, Geometry I",
ms_352,,,,,,,1200,1300,True,"class: Boethius tradition
subclass: Pseudo-Boethius, Geometry I",
ms_353,,,,,,,900,1000,True,"class: Boethius tradition
subclass: Pseudo-Boethius, Geometry I",
ms_354,,,,,,,1500,1600,True,"class: Boethius tradition
subclass: Pseudo-Boethius, Geometry I",
ms_355,,,,,,,1000,1100,True,"class: Boethius tradition
subclass: Pseudo-Boethius, Geometry I",
ms_356,,,,,,,800,900,True,"class: Boethius tradition
subclass: Pseudo-Boethius, Geometry I",
ms_357,,,,,,,900,1000,True,"class: Boethius tradition
subclass: Pseudo-Boethius, Geometry I",
ms_358,,,,,,,1200,1300,True,"class: Boethius tradition
subclass: Pseudo-Boethius, Geometry I",
ms_359,,,,,,,1100,1200,True,"class: Boethius tradition
subclass: Pseudo-Boethius, Geometry I",
ms_360,,,,,,,1100,1200,True,"class: Boethius tradition
subclass: Pseudo-Boethius, Geometry I",
ms_361,,,,,,,1000,1100,True,"class: Boethius tradition
subclass: Pseudo-Boethius, Geometry I",
ms_362,,,,,,,1200,1300,True,"class: Boethius tradition
subclass: Pseudo-Boethius, Geometry I",
ms_363,,,,,,,1400,1500,True,"class: Boethius tradition
subclass: Pseudo-Boethius, Geometry I",
ms_364,,,,,,,1100,1200,True,"class: Boethius tradition
subclass: Pseudo-Boethius, Geometry II",
ms_365,,,,,,,1100,1200,True,"class: Boethius tradition
subclass: Pseudo-Boethius, Geometry II",
ms_366,,,,,,,1400,1500,True,"class: Boethius tradition
subclass: Pseudo-Boethius, Geometry II",
ms_367,,,,,,,1100,1200,True,"class: Boethius tradition
subclass: Pseudo-Boethius, Geometry II",
ms_368,,,,,,,1100,1200,True,"class: Boethius tradition
subclass: Pseudo-Boethius, Geometry II
It seems that this is a Geometry II (not a Geometry I) manuscript",
ms_369,,,,,,,1000,1100,True,"class: Boethius tradition
subclass: Pseudo-Boethius, Geometry II",
ms_370,,,,,,,1500,1600,True,"class: Boethius tradition
subclass: Pseudo-Boethius, Geometry II",
ms_371,,,,,,,1100,1200,True,"class: Boethius tradition
subclass: Pseudo-Boethius, Geometry II",
ms_372,,,,,,,1200,1300,True,"class: Boethius tradition
subclass: Pseudo-Boethius, Geometry II",
ms_373,,,,,,,1400,1500,True,"class: Boethius tradition
subclass: Pseudo-Boethius, Geometry II",
ms_374,,,,,,,1200,1300,True,"class: Boethius tradition
subclass: Pseudo-Boethius, Geometry II",
ms_375,,,,,,,1100,1300,True,"class: Boethius tradition
subclass: Pseudo-Boethius, Geometry II",
ms_376,,,,,,,1000,1100,True,"class: Boethius tradition
subclass: Pseudo-Boethius, Geometry II",
ms_377,,,,,,,1200,1300,True,"class: Boethius tradition
subclass: Pseudo-Boethius, Geometry II",
ms_378,,,,,,,1100,1200,True,"class: Boethius tradition
subclass: Pseudo-Boethius, Geometry II",
ms_379,,,,,,,1100,1200,True,"class: Boethius tradition
subclass: Pseudo-Boethius, Geometry II",
ms_380,,,,,,,1100,1200,True,"class: Boethius tradition
subclass: Pseudo-Boethius, Geometry II",
ms_381,,,,,,,1100,1500,True,"class: Boethius tradition
subclass: Pseudo-Boethius, Geometry II",
ms_382,,,,,,,,6,True,class: Verona palimpsest,
ms_383,,,,,,,800,900,True,class: Munich fragment,
ms_384,,,,,,,1200,1300,True,"class: Greek-Latin translation (twelfth century)
f.2-2v has definitions, postulates, and common notions of book I in the Campanus version, s.XIV",
ms_385,,,,,,,1300,1400,True,class: Greek-Latin translation (twelfth century),
ms_386,,,,,,,1400,1500,True,class: Greek-Latin translation (twelfth century),
ms_387,,,,,,,1300,1400,True,class: Liber ysagogarum Alchorismi,
ms_388,,,,,,,1400,1500,True,class: Liber ysagogarum Alchorismi,
ms_389,,,,,,,1100,1200,True,class: Liber ysagogarum Alchorismi,
ms_390,,,,,,,1100,1200,True,class: Liber ysagogarum Alchorismi,
ms_391,,,,,,,1200,1300,True,class: Liber ysagogarum Alchorismi,
ms_392,,,,,,,1300,1400,True,class: Liber ysagogarum Alchorismi,
ms_393,,,,,,,1100,1200,True,class: Liber ysagogarum Alchorismi,
ms_394,,,,,,,1143,folkerts,True,"class: Liber ysagogarum Alchorismi
subclass: 1143
NULL",
ms_395,,,,,,,,,True,"class: Early Arabian Manuscripts
subclass: Hajjaj text",
ms_396,,,,,,,,,True,"class: Early Arabian Manuscripts
subclass: Hajjaj text",
ms_397,,,,,,,,,True,"class: Early Arabian Manuscripts
subclass: Ishaq-Thabit text",
ms_398,,,,,,,,,True,"class: Early Arabian Manuscripts
subclass: Ishaq-Thabit text",
ms_399,,,,,,,,,True,"class: Early Arabian Manuscripts
subclass: Ishaq-Thabit text",
ms_400,,,,,,,,,True,"class: Early Arabian Manuscripts
subclass: Ishaq-Thabit text",
ms_401,,,,,,,,,True,"class: Early Arabian Manuscripts
subclass: Ishaq-Thabit text",
ms_402,,,,,,,,,True,"class: Early Arabian Manuscripts
subclass: Ishaq-Thabit text",
ms_403,,,,,,,,,True,"class: Early Arabian Manuscripts
subclass: Ishaq-Thabit text",
ms_404,,,,,,,,,True,"class: Early Arabian Manuscripts
subclass: Ishaq-Thabit text",
ms_405,,,,,,,,,True,"class: Early Arabian Manuscripts
subclass: Ishaq-Thabit text",
ms_406,,,,,,,,,True,"class: Early Arabian Manuscripts
subclass: Ishaq-Thabit text",
ms_407,,,,,,,,,True,"class: Early Arabian Manuscripts
subclass: Ishaq-Thabit text",
ms_408,,,,,,,,,True,"class: Early Arabian Manuscripts
subclass: Ishaq-Thabit text",
ms_409,,,,,,,,,True,"class: Early Arabian Manuscripts
subclass: Ishaq-Thabit text",
ms_410,,,,,,,954,954,True,"class: Early Arabian Manuscripts
subclass: Ishaq-Thabit text
part of the same manuscript as Teheran, Malik 3586",
ms_411,,,,,,,,,True,"class: Early Arabian Manuscripts
subclass: Ishaq-Thabit text",
ms_412,,,,,,,954,954,True,"class: Early Arabian Manuscripts
subclass: Ishaq-Thabit text
the missing part of book VII is Teheran, Danishgah 2120",
ms_413,,,,,,,1200,1300,True,class: Adelard I,
ms_414,,,,,,,1200,1400,True,class: Adelard I,
ms_415,,,,,,,1100,1200,True,class: Adelard I,
ms_416,,,,,,,1200,1300,True,class: Adelard I,
ms_417,,,,,,,1300,1400,True,class: Adelard I,
ms_418,,,,,,,1200,1300,True,"class: Hermann of Carinthia
going back to a Hermann version",
ms_419,,,,,,,1300,1400,True,"class: Hermann of Carinthia
in agreement with Digby 174",
ms_420,,,,,,,1300,1400,True,class: Gerard of Gremona,
ms_421,,,,,,,1300,1400,True,class: Gerard of Gremona,
ms_422,,,,,,,1300,1400,True,class: Gerard of Gremona,
ms_423,,,,,,,1300,1400,True,class: Gerard of Gremona,
ms_424,,,,,,,1400,1500,True,class: Gerard of Gremona,
ms_425,,,,,,,1200,1300,True,class: Gerard of Gremona,
ms_426,,,,,,,1400,1500,True,class: Gerard of Gremona,
ms_427,,,,,,,1300,1400,True,class: Gerard of Gremona,
ms_428,,,,,,,1300,1400,True,class: Gerard of Gremona,
ms_429,,,,,,,1300,1400,True,class: Gerard of Gremona,
ms_430,,,,,,,1300,1400,True,class: Gerard of Gremona,
ms_431,,,,,,,1400,1600,True,class: Gerard of Gremona,
ms_432,,,,,,,1300,1400,True,class: Gerard of Gremona,
ms_433,,,,,,,1200,1300,True,class: Adelard II,
ms_434,,,,,,,1300,1400,True,class: Adelard II,
ms_435,,,,,,,1200,1300,True,class: Adelard II,
ms_436,,,,,,,1200,1300,True,"class: Texts in the Adelard II tradition
subclass: Adelard III",
ms_437,,,,,,,1100,1200,True,"class: Texts in the Adelard II tradition
subclass: Adelard III",
ms_438,,,,,,,1100,1200,True,"class: Texts in the Adelard II tradition
subclass: Adelard III",
ms_439,,,,,,,1200,1300,True,"class: Texts in the Adelard II tradition
subclass: Adelard III",
ms_440,,,,,,,1200,1300,True,"class: Texts in the Adelard II tradition
subclass: Adelard III
the so-called Version IIIB",
ms_441,,,,,,,1200,1300,True,"class: Texts in the Adelard II tradition
subclass: Adelard III
together with Adelard II",
ms_442,,,,,,,1300,1400,True,"class: Texts in the Adelard II tradition
subclass: Adelard III",
ms_443,,,,,,,1200,1300,True,"class: Texts in the Adelard II tradition
subclass: Thirteenth century commentary",
ms_444,,,,,,,1300,1400,True,"class: Texts in the Adelard II tradition
subclass: Thirteenth century commentary",
ms_445,,,,,,,1400,1500,True,"class: Texts in the Adelard II tradition
subclass: Campanus of Novara",
