author_canonical,key,year,year_num,period_25,city,language,format,short_title
"Joachim Kammermeister, Georg Joachim Rhäticus",Leipzig_1549,1549,1549.0,1525-1549,Leipzig,LATIN,8,"Euclidis elementorum geometricorum libri sex, conversi in Latinum sermonem"
Pierre de la Ramée,Paris_1549,1549,1549.0,1525-1549,Paris,LATIN,8,Euclides
Pierre de Montdoré,Paris_1551a,1551,1551.0,1550-1574,Paris,LATIN,4,Euclidis elementorum liber decimus
Pierre de Montdoré,Paris_1552,1552,1552.0,1550-1574,Paris,LATIN,4,
Valentin Naboth,Cologne_1556,1556,1556.0,1550-1574,Cologne,LATIN,8,Euclidis Megarensis mathematici clarissimi elementorum geometricorum liber primus
Jacques Peletier,Lyon_1557,1557,1557.0,1550-1574,Lyon,LATIN,2,In Euclidis Elementa geometrica demonstrationum libri sex
"Jean Magnien, Étienne Gracile",Paris_1557,1557,1557.0,1550-1574,Paris,LATIN,8,"Euclidis Elementorum libri XV, Graecè et Latinè"
Christian Herlin,Basel_1558,1558,1558.0,1550-1574,Basel,LATIN,2,Euclidis Megarensis mathematici clarissimi elementorum geometricorum libri XV
"Jean Magnien, Étienne Gracile",Paris_1558,1558,1558.0,1550-1574,Paris,LATIN,8,
Pierre de la Ramée,Paris_1558a,1558,1558.0,1550-1574,Paris,LATIN,4,Euclides
Wilhelm Xylander,Basel_1562,1562,1562.0,1550-1574,Basel,GERMAN,2,"Die sechs ersten Bücher Euclidis, vom Anfang oder Grund der Geometrie"
"Jean Magnien, Étienne Gracile",Cologne_1564,1564,1564.0,1550-1574,Cologne,LATIN,8,"Euclidis elementorum libri XV, Graece et Latine"
Joannes Sthen,Wittenberg_1564,1564,1564.0,1550-1574,Wittenberg,GREEK,8,Arithmetices Euclideae
Joannes Sthen,Wittenberg_1564,1564,1564.0,1550-1574,Wittenberg,LATIN,8,Arithmetices Euclideae
Niccolò Tartaglia,Venice_1565,1565,1565.0,1550-1574,Venice,LATIN,8,"Euclide Megarense philosopho, solo introduttore delle scientie mathematice"
François de Foix-Candale,Paris_1566,1566,1566.0,1550-1574,Paris,LATIN,2,Euclidis Megarensis mathematici clarissimi elementa geometrica libri XV
Niccolò Tartaglia,Venice_1569,1569,1569.0,1550-1574,Venice,LATIN,8,"Euclide megarense acutissimo philosopho, solo introduttore delle scientie mathematice"
"Henry Billingsley, John Dee",London_1570,1570,1570.0,1550-1574,London,ENGLISH,2,The elements of geometrie of the most ancient philosopher Euclide of Megara
Conrad Dasypodius,Strasbourg_1570a,1570,1570.0,1550-1574,Strasbourg,GREEK,8,
Conrad Dasypodius,Strasbourg_1570a,1570,1570.0,1550-1574,Strasbourg,LATIN,8,
Conrad Dasypodius,Strasbourg_1571,1571,1571.0,1550-1574,Strasbourg,LATIN,8,
Conrad Dasypodius,Strasbourg_1571a,1571,1571.0,1550-1574,Strasbourg,LATIN,8,
Federico Commandino,Pesaro_1572,1572,1572.0,1550-1574,Pesaro,LATIN,2,Euclidis elementorum libri XV una cum scholiis antiquis
"Jean Magnien, Étienne Gracile",Paris_1573,1573,1573.0,1550-1574,Paris,LATIN,8,
"Federico Commandino, Valerio Spacciuoli",Urbino_1575,1575,1575.0,1575-1599,Urbino,ITALIAN,2,De gli elementi d’Euclide libri quindici con gli scolii antichi
Francesco Maurolico,Venice_1575,1575,1575.0,1575-1599,Venice,LATIN,4,Opuscula mathematica
François de Foix-Candale,Paris_1578,1578,1578.0,1575-1599,Paris,LATIN,2,Elementa libris XV. ad Germanam geometriae intelligentiam è diversis lapsibus temporis iniuria contractis restituta
"Jean Magnien, Étienne Gracile",Cologne_1580,1580,1580.0,1575-1599,Cologne,LATIN,8,
Niccolò Tartaglia,Venice_1585,1585,1585.0,1575-1599,Venice,LATIN,4,"Euclide Megarense philosopho, solo introduttore delle scientie mathematice"
Niccolò Tartaglia,Venice_1586,1586,1586.0,1575-1599,Venice,LATIN,4,"Euclide Megarense philosopho, solo introduttore delle scientie mathematice"
"Jean Magnien, Étienne Gracile",Cologne_1587,1587,1587.0,1575-1599,Cologne,LATIN,8,
Nasir al-Din al-Tusi,Rome_1594,1594,1594.0,1575-1599,Rome,ARABIC,2,Euclidis elementorum geometricorum libri tredecim ex traditione doctissimi Nasiridini Tusini
Nasir al-Din al-Tusi,Rome_1594,1594,1594.0,1575-1599,Rome,LATIN,2,Euclidis elementorum geometricorum libri tredecim ex traditione doctissimi Nasiridini Tusini
"Jean Magnien, Étienne Gracile",Paris_1598,1598,1598.0,1575-1599,Paris,LATIN,8,
"Jean Magnien, Étienne Gracile",Cologne_1600,1600,1600.0,1600-1624,Cologne,LATIN,8,Euclidis Elementorum Libri XV
François de Foix-Candale,Cologne_1602,1602,1602.0,1600-1624,Cologne,LATIN,2,
François de Foix-Candale,Paris_1602,1602,1602.0,1600-1624,Paris,LATIN,2,
Christoffer Dybvad,Arnhem_1603,1603,1603.0,1600-1624,Arnhem,LATIN,4,In geometriam Euclidis prioribus sex elementorum libris comprehensam demonstratio linealis
Christoffer Dybvad,Arnhem_1605a,1605,1605.0,1600-1624,Arnhem,LATIN,4,In arithmeticam irrationalium Euclidis 
Jan Pietersz Dou,Leiden_1606,1606,1606.0,1600-1624,Leiden,DUTCH,4,De ses eerste boucken Euclidis
"Xu Guangqi, Matteo Ricci",Beijing_1607,1607,1607.0,1600-1624,Beijing,CHINESE,unknown,
Jan Pietersz Dou,Leiden_1607,1607,1607.0,1600-1624,Leiden,DUTCH,4,
Jacques Peletier,Geneva_1610,1610,1610.0,1600-1624,Geneva,LATIN,4,In Euclidis Elementa geometrica demonstrationum libri sex
"Jacques Peletier, Jean de Tournes",Geneva_1611,1611,1611.0,1600-1624,Geneva,FRENCH,4,Les six premiers livres des Eléments géométriques
"Xu Guangqi, Matteo Ricci",Beijing_1611,1611,1611.0,1600-1624,Beijing,CHINESE,unknown,
Étienne Gracile,Cologne_1612,1612,1612.0,1600-1624,Cologne,LATIN,8,
Florimond du Puy,Paris_1612,1612,1612.0,1600-1624,Paris,LATIN,2,Euclidis elementorum decimum
Didier Dounot,Paris_1613,1613,1613.0,1600-1624,Paris,FRENCH,4,Les éléments de la géométrie d’Euclide Mégarien
Denis Henrion,Paris_1615,1615,1615.0,1600-1624,Paris,FRENCH,8,"Les quinze livres des Éléments d’Euclide, traduits du latin en français"
Jan Pietersz Dou,Amsterdam_1616,1616,1616.0,1600-1624,Amsterdam,DUTCH,8,
"Federico Commandino, Valerio Spacciuoli",Pesaro_1619a,1619,1619.0,1600-1624,Pesaro,ITALIAN,2,De gli elementi d’Euclide libri quindici con gli scolii antichi
Henry Briggs,London_1620,1620,1620.0,1600-1624,London,GREEK,2,ΕΥΚΛΕΙΔΟΥ ΣΤΟΙΧΕΙΩΝ ΒΙΒΛΙΑ ἕγ. ELEMENTORVM EVCLIDIS LIBRI TREDECIM
