author_canonical,edition_count,earliest_year,latest_year,year_span,city_count,cities,language_count,languages,format_count,formats,primary_city,primary_language,primary_format,known_format_count,reprint_edge_count,same_city_reprint_edges,cross_city_reprint_edges,same_language_reprint_edges,cross_language_reprint_edges,translation_case_count,items,is_recurring_3plus
"Henry Billingsley, John Dee",1,1570,1570,0,1,London,1,ENGLISH,1,2,London,ENGLISH,2,1,0,0,0,0,0,0,London_1570,False
Honoré Fabri,1,1669,1669,0,1,Lyon,1,LATIN,1,12,Lyon,LATIN,12,1,0,0,0,0,0,0,Lyon_1669,False
Ignazio Danti,1,1573,1573,0,1,Florence,1,ITALIAN,1,4,Florence,ITALIAN,4,1,0,0,0,0,0,0,Florence_1573,False
Jacobo Kresa,1,1689,1689,0,1,Brussels,1,SPANISH,1,4,Brussels,SPANISH,4,1,0,0,0,0,0,0,Brussels_1689,False
Jacques Lefèvre d'Étaples,1,1516,1516,0,1,Paris,1,LATIN,1,2,Paris,LATIN,2,1,0,0,0,0,0,0,Paris_1516,False
Jacques Rohault,1,1690,1690,0,1,The Hague,1,FRENCH,1,12,The Hague,FRENCH,12,1,0,0,0,0,0,0,The_Hague_1690,False
"Jacques Rohault, Claude Clerselier",1,1682,1682,0,1,Paris,1,FRENCH,1,4,Paris,FRENCH,4,1,0,0,0,0,0,0,Paris_1682a,False
Jacques-Alexandre Le Tenneur,1,1640,1640,0,1,Paris,1,FRENCH,1,4,Paris,FRENCH,4,1,0,0,0,0,0,0,Paris_1640,False
Jean Prestet,1,1675,1675,0,1,Paris,1,FRENCH,1,4,Paris,FRENCH,4,1,0,0,0,0,0,0,Paris_1675,False
"Joachim Kammermeister, Georg Joachim Rhäticus",1,1549,1549,0,1,Leipzig,1,LATIN,1,8,Leipzig,LATIN,8,1,0,0,0,0,0,0,Leipzig_1549,False
"Joachim Kammermeister, Moritz Valentin Steinmetz",1,1577,1577,0,1,Leipzig,1,LATIN,1,8,Leipzig,LATIN,8,1,0,0,0,0,0,0,Leipzig_1577,False
"Johannes Vögelin, Johann Alexander Brassicanus",1,1528,1528,0,1,Vienna,1,LATIN,1,4,Vienna,LATIN,4,1,0,0,0,0,0,0,TTORPR,False
John Keill,1,1701,1701,0,1,Oxford,1,LATIN,1,8,Oxford,LATIN,8,1,0,0,0,0,0,0,Oxford_1701,False
"John Leeke, George Serle",1,1661,1661,0,1,London,1,ENGLISH,1,2,London,ENGLISH,2,1,0,0,0,0,0,0,London_1661,False
Jonas Moore,1,1680,1680,0,1,London,1,ENGLISH,1,4,London,ENGLISH,4,1,0,0,0,0,0,0,London_1680–81,False
Leonardo Achati,1,1491,1491,0,1,Vicenza,1,LATIN,1,2,Vicenza,LATIN,2,1,0,0,0,0,0,0,Vicenza_1491,False
Leonardo Fioravanti,1,1679,1679,0,1,Naples,1,LATIN,1,8,Naples,LATIN,8,1,0,0,0,0,0,0,Naples_1679,False
Luca Pacioli,1,1509,1509,0,1,Venice,1,LATIN,1,2,Venice,LATIN,2,1,0,0,0,0,0,0,Venice_1509,False
Lucas Brunn,1,1625,1625,0,1,Nuremberg,1,GERMAN,1,4,Nuremberg,GERMAN,4,1,0,0,0,0,0,0,Nuremberg_1625,False
Marcus Meibom,1,1652,1652,0,1,Amsterdam,1,LATIN,1,4,Amsterdam,LATIN,4,1,0,0,0,0,0,0,Amsterdam_1652,False
Marinus Neapolitanus,1,1558,1558,0,1,Basel,1,LATIN,1,2,Basel,LATIN,2,1,0,0,0,0,0,0,T4DFPF,False
Martinus Erici Gestrinius,1,1642,1642,0,1,Uppsala,1,LATIN,1,unknown,Uppsala,LATIN,unknown,0,0,0,0,0,0,0,Uppsala_1642,False
"Michael, Joachim Tancke, Philipp Melanchthon",1,1589,1589,0,1,Leipzig,1,LATIN,1,8,Leipzig,LATIN,8,1,0,0,0,0,0,0,4ZSED7,False
Pedro Ambrosio Ondériz,1,1585,1585,0,1,Madrid,1,SPANISH,1,4,Madrid,SPANISH,4,1,0,0,0,0,0,0,Madrid_1585,False
Pierre Bourdín,1,1643,1643,0,1,Paris,1,FRENCH,1,12,Paris,FRENCH,12,1,0,0,0,0,0,0,Paris_1643,False
Pietro Antonio Cataldi,1,1613,1613,0,1,Bologna,1,ITALIAN,1,unknown,Bologna,ITALIAN,unknown,0,0,0,0,0,0,0,8DP4C1,False
Porpora,1,1702,1702,0,1,Naples,1,LATIN,1,8,Naples,LATIN,8,1,0,0,0,0,0,0,Naples_1702,False
Robert Recorde,1,1551,1551,0,1,London,1,ENGLISH,1,4,London,ENGLISH,4,1,0,0,0,0,0,0,FA6MQ0,False
Rodorigo de Zamorano,1,1576,1576,0,1,Seville,1,SPANISH,1,4,Seville,SPANISH,4,1,0,0,0,0,0,0,Seville_1576,False
Roland Fréart,1,1663,1663,0,1,Le Mans,1,FRENCH,1,4,Le Mans,FRENCH,4,1,0,0,0,0,0,1,Le_Mans_1663,False
Simon Stevin,1,1618,1618,0,1,Rotterdam,1,FRENCH,1,2,Rotterdam,FRENCH,2,1,0,0,0,0,0,0,1QQS64,False
"Thomas Bradwardine, Pedro Ciruelo",1,1495,1495,0,1,Paris,1,LATIN,1,4,Paris,LATIN,4,1,0,0,0,0,0,0,70Q8M8,False
Thomas Rudd,1,1651,1651,0,1,London,1,ENGLISH,1,4,London,ENGLISH,4,1,0,0,0,0,0,0,London_1651,False
Valentin Naboth,1,1556,1556,0,1,Cologne,1,LATIN,1,8,Cologne,LATIN,8,1,0,0,0,0,0,0,Cologne_1556,False
Vincenzio Viviani,1,1690,1690,0,1,Florence,1,ITALIAN,1,12,Florence,ITALIAN,12,1,0,0,0,0,0,0,Florence_1690,False
Vitale Giordano da Bitonto,1,1680,1680,0,1,Rome,1,ITALIAN,1,2,Rome,ITALIAN,2,1,0,0,0,0,0,0,Rome_1680,False
Wilhelm Xylander,1,1562,1562,0,1,Basel,1,GERMAN,1,2,Basel,GERMAN,2,1,0,0,0,0,0,0,Basel_1562,False
"Xu Guangqi, Matteo Ricci, Li Zhizao",1,1629,1629,0,1,Beijing,1,CHINESE,1,unknown,Beijing,CHINESE,unknown,0,0,0,0,0,0,0,Beijing_1629,False
Étienne Gracile,1,1612,1612,0,1,Cologne,1,LATIN,1,8,Cologne,LATIN,8,1,0,0,0,0,0,0,Cologne_1612,False
