elements_books,additional_content,wardhaugh_classification,key,short_title,short_title_source,year,city,language,author_or_editor,publisher,format,volumes,ustc_id,notes,has_diagrams,year_num,city_clean,language_clean,period_25
1,,MAGNIENUS/GRACILIS and DASYPODIUS,Strasbourg_1564,Euclidis quindecim Elementorum Geometriae primum,Specified in source,1564,Strasbourg,"GREEK, LATIN",Conrad Dasypodius,Christian Mehl,8.0,1.0,,,,1564.0,Strasbourg,GREEK | LATIN,1550-1574
,,MAGNIENUS/GRACILIS and DASYPODIUS,Strasbourg_1564b,PROPOSITIOnes reliquorum Librorum Geometriæ Euclidis,Specified in source,1564,Strasbourg,LATIN,Conrad Dasypodius,Christian Mehl,8.0,1.0,,,,1564.0,Strasbourg,LATIN,1550-1574
1-6,,MAGNIENUS/GRACILIS and DASYPODIUS,Strasbourg_1566,Analyseis geometricae sex librorum Euclidis,Specified in source,1566,Strasbourg,"GREEK, LATIN","Conrad Dasypodius, Christian Herlin",Josias Rihel,4.0,1.0,,The source of our facsi pdf is unknown (From De Risi drive),,1566.0,Strasbourg,GREEK | LATIN,1550-1574
2,,MAGNIENUS/GRACILIS and DASYPODIUS,Strasbourg_1564a,Euclides: Eukleidu Tōn Pente Kai Deka Stoicheiōn Ek Tōn Tu Theōnos synusiōn to deuteron,Provided by catalog,1564,Strasbourg,"GREEK, LATIN",Conrad Dasypodius,Konrad Dasypodius,8.0,1.0,,,,1564.0,Strasbourg,GREEK | LATIN,1550-1574
1–6,,MAGNIENUS/GRACILIS and DASYPODIUS,Bologna_1651,,,1651,Bologna,ITALIAN,Giovanni Ricci,Gio. Batt. Ferroni,8.0,1.0,-,italiana without dot,,1651.0,Bologna,ITALIAN,1650-1674
1-6,,MAGNIENUS/GRACILIS and DASYPODIUS,Bologna_1651a,De gli Elementi di Euclide li primi sei Libri,Specified in source,1651,Bologna,ITALIAN,Giovanni Ricci,Giuseppe Longhi,8.0,1.0,-,italiana without dot,,1651.0,Bologna,ITALIAN,1650-1674
"1–6, 11–12",,TACQUET,Amsterdam_1683,,,1683,Amsterdam,LATIN,André Tacquet,Henricum Wetstenium,8.0,1.0,,,,1683.0,Amsterdam,LATIN,1675-1699
"1–6, 11–12",,TACQUET,Amsterdam_1701b,,,1701,Amsterdam,LATIN,André Tacquet,Franciscus van der Plaats,8.0,1.0,-,,,1701.0,Amsterdam,LATIN,1700-1724
"1–6, 11-12",,TACQUET,Cambridge_1703,,,1703,Cambridge,LATIN,"André Tacquet, William Whiston",Cornelius Crownfield,8.0,1.0,,,,1703.0,Cambridge,LATIN,1700-1724
1-16,,CLAVIUS,Rome_1574,Euclidis elementorum libri XV,Specified in source,1574,Rome,LATIN,Christopher Clavius,Vincentium Accoltum,8.0,1.0,828480,,,1574.0,Rome,LATIN,1550-1574
1–16 (enunciations),,MAGNIENUS/GRACILIS and DASYPODIUS,Cologne_1607,,,1607,Cologne,LATIN,"Jean Magnien, Étienne Gracile",Goswinus Cholinus,8.0,1.0,,,,1607.0,Cologne,LATIN,1600-1624
1–16,,MAGNIENUS/GRACILIS and DASYPODIUS,Cologne_1627,,,1627,Cologne,LATIN,"Jean Magnien, Étienne Gracile",Petrus Cholinus,8.0,1.0,-,,,1627.0,Cologne,LATIN,1625-1649
"1–6, 11–12",,CLAVIUS,Lyon_1660,,,1660,Lyon,LATIN,Claude-François Milliet Dechales,Benedictum Coral,18.0,1.0,-,,,1660.0,Lyon,LATIN,1650-1674
"1–6, 11–12",,CLAVIUS,Lyon_1675,,,1675,Lyon,LATIN,Claude-François Milliet Dechales,,6.0,1.0,,,,1675.0,Lyon,LATIN,1675-1699
1–6,,CLAVIUS,Frankfurt_1674,,,1674,Frankfurt,LATIN,Gaspar Schott,Johann Arnold Cholini,2.0,1.0,,,,1674.0,Frankfurt,LATIN,1650-1674
1-16,,CLAVIUS,Rome_1589,Euclidis elementorum libri XV,Specified in source,1589,Rome,LATIN,Christopher Clavius,,8.0,1.0,,,,1589.0,Rome,LATIN,1575-1599
1-16,,CLAVIUS,Cologne_1591,Euclidis elementorum libri XV; accessit XVI de solidorum regularium cuiuslibet intra quodlibet comparatione,Specified in source,1591,Cologne,LATIN,Christopher Clavius,Giovanni Battista Ciotti,4.0,1.0,,"In letter n. 72 in Clavius' correspondence, Jacob Curtz complains that the Cologne edition of Clavius’s Euclides was printed ""infeliciter et plenus omnino mendis excusus est, id me ut primum vidi ex animo male habuit"" (unhappily and full of all manner of errors, when I first saw it, it truly pained me), and recommends using Sartorius in Ingolstadt or the Wechel heirs in Frankfurt for future work in Germany [Source: Clavius, C. 1992. Corrispondenza. Baldini, U. and Napolitani, P.D., Eds. Università di Pisa, Dipartimento di matematica, Pisa., https://echo.mpiwg-berlin.mpg.de/content/mpiwglib/clavius/pdf/clavius_1992_bd_2_1.pdf p. 178]",,1591.0,Cologne,LATIN,1575-1599
1-16,,CLAVIUS,Rome_1603,"Elementorum libri 15, accessit Liber XVI",Provided by catalog,1603,Rome,LATIN,Christopher Clavius,Luigi Zannetti,8.0,1.0,,,,1603.0,Rome,LATIN,1600-1624
1–6,,CLAVIUS,Douai_1620,,,1620,Douai,LATIN,Charles Malapert de Mons,Belleri,8.0,1.0,-,,,1620.0,Douai,LATIN,1600-1624
