variable,comparison_group,category,count,denominator,share
subject family,Non-Elements: other,Instruments/Measurement | Applied Mechanics/Military,1,533,0.001876172607879925
subject family,Non-Elements: other,Geometry/Theory | Arithmetic/Commerce | Cosmos/Earth | Music,1,533,0.001876172607879925
subject family,Non-Elements: other,Arithmetic/Commerce | Cosmos/Earth | Music,1,533,0.001876172607879925
subject family,Non-Elements: other,Geometry/Theory | Arithmetic/Commerce | Cosmos/Earth,1,533,0.001876172607879925
subject family,Non-Elements: other,Geometry/Theory | Arithmetic/Commerce | Applied Mechanics/Military,1,533,0.001876172607879925
subject family,Non-Elements: other,Visual/Spatial Arts | Cosmos/Earth,1,533,0.001876172607879925
subject family,Non-Elements: other,Geometry/Theory | Arithmetic/Commerce | Cosmos/Earth | Applied Mechanics/Military,1,533,0.001876172607879925
subject family,Non-Elements: other,Arithmetic/Commerce | Cosmos/Earth | Applied Mechanics/Military,1,533,0.001876172607879925
language,Elements: Jesuit-marked,LATIN,16,24,0.6666666666666666
language,Elements: Jesuit-marked,FRENCH,5,24,0.20833333333333334
language,Elements: Jesuit-marked,ENGLISH,3,24,0.125
language,Elements: other,LATIN,117,235,0.4978723404255319
language,Elements: other,FRENCH,45,235,0.19148936170212766
language,Elements: other,DUTCH,20,235,0.0851063829787234
language,Elements: other,GREEK,14,235,0.059574468085106386
language,Elements: other,ITALIAN,10,235,0.0425531914893617
language,Elements: other,GERMAN,10,235,0.0425531914893617
language,Elements: other,ENGLISH,10,235,0.0425531914893617
language,Elements: other,SPANISH,6,235,0.02553191489361702
language,Elements: other,CHINESE,2,235,0.00851063829787234
language,Elements: other,ARABIC,1,235,0.00425531914893617
language,Non-Elements: Jesuit-marked,LATIN,11,17,0.6470588235294118
language,Non-Elements: Jesuit-marked,FRENCH,4,17,0.23529411764705882
language,Non-Elements: Jesuit-marked,ITALIAN,2,17,0.11764705882352941
language,Non-Elements: other,FRENCH,203,533,0.3808630393996248
language,Non-Elements: other,LATIN,156,533,0.2926829268292683
language,Non-Elements: other,ITALIAN,49,533,0.09193245778611632
language,Non-Elements: other,GERMAN,45,533,0.08442776735459662
language,Non-Elements: other,ENGLISH,44,533,0.0825515947467167
language,Non-Elements: other,DUTCH,29,533,0.054409005628517824
language,Non-Elements: other,SPANISH,6,533,0.01125703564727955
language,Non-Elements: other,Dutch,1,533,0.001876172607879925
period,Elements: Jesuit-marked,1650-1699,16,24,0.6666666666666666
period,Elements: Jesuit-marked,1700+,4,24,0.16666666666666666
period,Elements: Jesuit-marked,1600-1649,4,24,0.16666666666666666
period,Elements: other,1600-1649,70,235,0.2978723404255319
period,Elements: other,1650-1699,66,235,0.28085106382978725
