edition_key,corpus,year,city,language,format,geometrical_dotted_lines,token_lines,other_dotted_lines,has_dotted_diagrams_wide_sense,raw_dotted_lines,lines_classified,notes,has_diagrams,reprint_of,short_title,author_or_editor,publisher,volumes,ustc_id,elements_books,includes_elements_plane_geometry_books_1_6,includes_elements_arithmetical_books_7_9,includes_elements_book_10,includes_elements_solid_geometry_books_11_13,additional_content,reprint_of_inferred_from_clusters,reprint_cluster_comparison
0NKS71,Additional Work,1568,Paris,FRENCH,8,,,,Not relevant (no diagrrams in edition),,,,FALSE,,La description d'un aneau horaire ,Pierre Forcadel,Mathurin Prévost,1,30252,,,,,,,,neither
MIZPJ8,Additional Work,1568,Nuremberg,GERMAN,2,,,,Not relevant (no diagrrams in edition),,,,FALSE,,"Perspectiva. Corporum regulariuM. Das ist ein fleyssige fürweysung wie die fünff regulirten cörper, darvon Plato inn Timaeo unnd Euclides inn sein elementis schreibt","Wenzel Jamnitzer, Jost Amman",Christoph Heußler,1,683519,,,,,,,,neither
Valencia_1569,Additional Work,1569,Valencia,LATIN,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,Elementa Arithmeticae ac Geometriae,Pedro Monçón,,1,,,,,,,,,neither
bib-21,Additional Work,1569,Basel,LATIN,,Geometrical,,,Yes,Geometrical,Yes,,TRUE,,P. Rami arithmeticae libri duo: geometriae septem et viginti,Pierre de la Ramée,Eusebius Episcopius,1,,,,,,,,bib-129,clusters only
JXC181,Additional Work,1569,Venice,ITALIAN,2,Geometrical,,,Yes,Geometrical,Yes,,TRUE,,La pratica della perspettiva,Daniele Barbaro,"Rutilio Borgominieri, Camillo Borgominieri",1,812223,,,,,,,,neither
JTRIRS,Additional Work,1569,Venice,ITALIAN,2,Geometrical,,,Yes,Geometrical,Yes,,TRUE,,"La pratica della perspettiua di monsignor Daniel Barbaro eletto patriarca d'Aquileia. Opera molto utile a pittori, a scultori, & ad architetti",Daniele Barbaro,"Rutilio Borgominieri, Camillo Borgominieri",1,812217,,,,,,,,neither
bib-10,Additional Work,1570,Paris,FRENCH,4,Geometrical,,,Yes,Geometrical,Yes,p. 131 is the only one (and it eah...),TRUE,,La practique de la geometrie,"Pierre Forcadel, Oronce Finé",Gilles Gourbin,1,23433,,,,,,,,neither
bib-42,Additional Work,1570,Pesaro,LATIN,,Geometrical,,,Yes,Geometrical,Yes,,TRUE,,De superficierum divisionibus liber Machometo Bagdedino ascriptus,"John Dee, Federico Commandino",Hieronymus Concordia,1,,,,,,,,,neither
bib-252,Additional Work,1570,,LATIN,,,,,Not relevant (no diagrrams in edition),No diagrams,Yes,,FALSE,,,Johannes Stadius,,,,,,,,,,,neither
E4JQEB,Additional Work,1570,Paris,FRENCH,4,,,,Not relevant (no diagrrams in edition),No diagrams,Yes,,FALSE,,L'arithmetique demonstree ,Pierre Forcadel,"Jérôme de Marnef, Guillaume Cavellat",1,23247,,,,,,,,neither
bib-7,Additional Work,1571,London,ENGLISH,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,"A geometrical practise, named Pantometria divided into three bookes, longimetra, planimetra, and stereometria, containing rules manifolde for mensuration of all lines, superficies and solides","Leonard Digges, Thomas Digges",Henrie Bynneman,,507303,,,,,,,,neither
Q4F538,Additional Work,1571,Nuremberg,GERMAN,2,Geometrical,,,Yes,Geometrical,Yes,https://www.digitale-sammlungen.de/view/bsb00084126?page=9,TRUE,,Perspectiva hierinnen auffs kürtzte beschrieben mit exempeln eroeffnet und an tag gegeben wird ein newer besonder kurtzer doch gerechter unnd sehr leichter weg wie allerley ding in die perspectyf gebracht werden mag dergleichen weg bißhero noch nit bekant gewesen,Hans Lencker,Dietrich Gerlach,1,683514,,,,,,,,neither
bib-16,Additional Work,1572,Paris,FRENCH,,,,,No (has diagrams),No (has diagrams),Yes,Segmented,TRUE,,De usu geometriae liber I,Jacques Peletier,Gilles Gourbin,1,,,,,,,,,neither
bib-223,Additional Work,1572,Frankfurt,GERMAN,,,,Other (Counting board),Yes,Other (Counting board),Yes,Merchent tokens: https://books.google.co.il/books?id=2W9mAAAAcAAJ&pg=PA14#v=onepage&q&f=false Segmenered https://books.google.co.il/books?id=2W9mAAAAcAAJ&pg=PA83#v=onepage&q&f=false + https://books.google.co.il/books?id=2W9mAAAAcAAJ&pg=PA109-IA1#v=onepage&q&f=false,TRUE,,,Heinrich Schreiber,Egenolff,,,,,,,,,,neither
LQNZBJ,Additional Work,1572,Paris,FRENCH,4,,,,Not relevant (no diagrrams in edition),,,,FALSE,,Deux livres l'un de la sphere qui est meue et l'autre du lever et coucher des estoilles ,Pierre Forcadel,"Jérôme de Marnef, Guillaume Cavellat",1,21203,,,,,,,,neither
bib-17,Additional Work,1573,Paris,FRENCH,,,,,No (has diagrams),No (has diagrams),Yes,Segmented https://www.google.co.il/books/edition/De_l_vsage_de_geometrie_Par_Iaques_Pelet/53FTQXywPiMC?hl=en&gbpv=1&pg=PA45&printsec=frontcover ; I think it's a reprint of prev peltier,TRUE,, De l'vsage de geometrie,Jacques Peletier,Gilles Gourbin,1,,,,,,,,,neither
bib-264,Additional Work,1573,Antwerp,FRENCH,,,,,Not relevant (no diagrrams in edition),,,,FALSE,,"Livre d'arithmetique: contenant plusieurs belles questions et demandes, propres et utiles à tous ceux qui hantent la trafique de marchandise. Ensemble une ample declaration sur le fait des changes","Valentin Mennher, Michel Coignet",Jean Waesberghe,1,75745,,,,,,,,neither
5J1UUA,Additional Work,1573,Paris,FRENCH,4,,,,Not relevant (no diagrrams in edition),No diagrams,Yes,,FALSE,,L'arithmetique entiere et abregee ,Pierre Forcadel,"Guillaume Cavellat, Jérôme de Marnef",1,23254,,,,,,,,neither
bib-131,Additional Work,1574,London,ENGLISH,,,"Tokens (triagular, vubic)",,Yes,"Tokens (triagular, vubic)",Yes,Tokens: https://www.google.co.il/books/edition/The_pathway_to_knowledg_etc/H_95rik6X4UC?hl=en&gbpv=1&pg=PP22&printsec=frontcover,,,,Robert Recorde,,,,,,,,,,,neither
bib-255,Additional Work,1574,Cologne,LATIN,,Geometrical,,,Yes,Geometrical,Yes,Dotted https://archive.org/details/ita-bnc-mag-00000949-001/page/n132/mode/2up,TRUE,,Cosmographia,"Petrus Apianus, Gemma Frisius",Birckmann,,,,,,,,,,neither
bib-24,Additional Work,1575,Bordeaux,LATIN,,Geometrical,,,Yes,Geometrical,Yes,Dotted: https://www.google.co.il/books/edition/Definitiones_elementi_quincti_et_sexti/dUAUWfQ5hlIC?hl=en&gbpv=1&pg=PT22&printsec=frontcover It's the defs of the Elemenys books 5+6!,TRUE,,,Elie Vinet,Simon Millanges,,,,,,,,,,neither
bib-28,Additional Work,1576,Paris,FRENCH,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,,Jacques Androuet du Cerceau,Mamert Patisson,,,,,,,,,,neither
